Date,MatchType,Points,PPG,Harrison Afful,Chad Barson,Sergio Campbell,Steve Clark,Ethan Finlay,Waylon Francis,Kevan George,Hernan Grana,Federico Higuain,Hector Jimenez,Kei Kamara,Chris Klute,Cedrick Mabwati,Jack McInerney,Justin Meram,Michael Parkhurst,Emanuel Pogatetz,Mohammed Saeid,Gaston Sauro,Aaron Schoenfeld,Ben Speas,Kristinn Steindorsson,Tony Tchani,Wil Trapp,Tyson Wahl,HHI
2015-03-07 20:30:00,21,0,0.0,0,0,0,90,90,90,0,90,75,15,90,0,0,0,0,90,90,0,0,10,10,80,80,90,0,0.938832772166
2015-03-14 19:30:00,21,3,1.5,0,0,0,180,159,180,14,173,165,36,180,0,0,0,90,180,180,76,0,10,10,87,80,180,0,0.85962962963
2015-03-28 19:30:00,21,3,1.0,0,0,0,270,233,180,14,263,248,52,270,82,0,0,90,270,270,166,0,18,36,151,170,180,0,0.801833594191
2015-04-08 22:00:00,21,4,1.0,0,20,0,360,323,180,14,263,248,122,360,172,0,0,180,360,270,211,0,18,106,171,260,225,90,0.716766491476
2015-04-11 15:00:00,21,5,1.0,0,43,0,450,397,180,14,353,338,122,444,239,0,0,270,450,360,301,0,24,106,187,350,225,90,0.732105050786
2015-04-18 19:30:00,21,8,1.33333333333,0,43,0,540,476,245,14,443,428,133,534,264,0,0,340,540,450,391,0,24,106,207,440,225,90,0.750548010853
2015-04-25 19:30:00,21,11,1.57142857143,0,43,0,630,566,335,14,533,518,133,611,264,0,0,406,630,506,481,0,37,106,231,530,225,124,0.758912303513
2015-05-02 19:00:00,21,11,1.375,0,43,0,720,656,380,14,598,608,158,701,309,0,0,451,720,596,571,0,37,106,276,620,225,124,0.768848479202
2015-05-09 19:30:00,21,14,1.55555555556,0,43,0,810,746,470,14,598,698,248,785,309,0,0,539,810,686,634,0,43,106,278,710,225,151,0.76891869488
2015-05-16 22:30:00,21,14,1.4,0,43,0,900,824,560,43,598,788,338,868,309,0,0,600,900,776,667,0,50,106,290,800,225,151,0.77045653227
2015-05-22 20:00:00,21,15,1.36363636364,0,43,0,990,899,650,133,598,875,338,957,399,0,0,690,990,866,667,0,51,109,305,890,225,151,0.76650678695
2015-05-30 19:30:00,21,16,1.33333333333,0,43,0,1080,989,740,133,598,894,402,1047,425,0,0,735,1006,937,757,0,51,109,350,980,225,241,0.759236083604
2015-06-03 19:00:00,21,16,1.23076923077,0,133,90,1170,1054,811,223,598,959,421,1072,425,0,0,825,1006,1027,847,0,141,134,350,980,225,241,0.725510041022
2015-06-06 19:30:00,21,16,1.14285714286,0,133,90,1260,1122,901,223,598,1049,511,1162,425,0,0,851,1096,1027,927,0,151,156,414,1070,225,331,0.721299289676
2015-06-13 19:30:00,21,17,1.13333333333,0,133,90,1350,1206,991,223,598,1138,601,1252,425,0,0,941,1186,1117,1017,0,157,157,414,1160,225,331,0.731682562958
2015-06-24 19:30:00,21,20,1.25,0,157,90,1440,1296,1081,228,598,1210,667,1342,425,0,0,1026,1276,1207,1107,0,157,157,432,1250,225,331,0.739561453132
2015-06-27 22:00:00,21,21,1.23529411765,0,185,90,1530,1386,1162,228,598,1300,729,1432,425,0,0,1093,1366,1297,1197,0,157,157,455,1340,225,340,0.746585011056
2015-07-04 19:30:00,21,24,1.33333333333,0,185,90,1620,1476,1252,228,598,1388,819,1521,425,0,0,1164,1456,1387,1287,0,158,157,474,1430,227,340,0.754847957316
2015-07-11 20:00:00,21,24,1.26315789474,0,185,90,1710,1566,1342,228,598,1478,851,1611,483,0,0,1254,1546,1464,1332,0,171,157,474,1520,272,340,0.758019485022
2015-07-15 20:30:00,21,27,1.35,0,266,90,1800,1656,1432,228,598,1568,851,1700,492,0,0,1319,1636,1464,1332,0,172,157,499,1610,362,430,0.750644461225
2015-07-19 17:00:00,21,30,1.42857142857,0,284,90,1890,1746,1522,228,598,1658,851,1790,564,0,0,1400,1726,1464,1367,0,172,157,508,1665,452,520,0.746420169452
2015-07-25 19:30:00,21,31,1.40909090909,0,374,90,1980,1832,1612,228,598,1736,851,1880,564,4,0,1466,1816,1464,1379,0,172,157,532,1755,542,610,0.742097106376
2015-08-01 19:30:00,21,31,1.34782608696,0,432,90,2070,1877,1702,228,598,1826,883,1970,564,49,0,1556,1906,1464,1402,0,172,157,532,1822,632,700,0.737340316254
2015-08-08 21:00:00,21,34,1.41666666667,0,456,90,2160,1967,1702,228,598,1915,949,2060,654,49,1,1568,1996,1464,1402,0,172,157,610,1912,722,790,0.730923114176
2015-08-19 19:30:00,21,35,1.4,60,456,90,2250,2057,1792,228,598,2005,979,2150,654,72,1,1635,2086,1464,1402,0,172,157,610,2002,812,880,0.729453353987
2015-08-22 19:30:00,21,38,1.46153846154,130,456,90,2340,2147,1882,228,598,2095,999,2222,654,90,27,1699,2176,1464,1402,0,172,157,610,2092,902,970,0.726969521199
2015-08-29 16:00:00,21,41,1.51851851852,220,456,90,2430,2237,1972,228,598,2184,999,2311,654,147,27,1732,2266,1464,1403,0,173,157,610,2182,992,1060,0.72446597653
2015-09-06 19:00:00,21,41,1.46428571429,220,456,90,2520,2327,1972,228,598,2274,1089,2311,744,147,96,1732,2356,1464,1435,7,194,215,610,2272,1082,1143,0.715124737764
2015-09-12 19:00:00,21,44,1.51724137931,310,456,90,2610,2399,2050,228,598,2364,1089,2401,756,165,96,1817,2446,1469,1435,7,194,215,610,2362,1172,1233,0.715079378589
2015-09-19 19:00:00,21,47,1.56666666667,400,456,90,2700,2482,2050,228,598,2454,1103,2491,832,165,96,1896,2536,1476,1435,7,194,215,621,2452,1262,1323,0.713683267119
2015-09-26 19:30:00,21,47,1.51612903226,490,456,90,2790,2547,2140,228,598,2544,1112,2581,832,190,96,1977,2626,1476,1460,7,194,215,621,2517,1352,1413,0.713768539814
2015-10-03 19:00:00,21,47,1.46875,580,456,90,2880,2611,2230,228,598,2634,1112,2671,832,216,100,2067,2716,1476,1550,93,194,215,621,2607,1352,1413,0.712404013404
2015-10-17 14:00:00,21,50,1.51515151515,670,456,90,2970,2701,2320,228,598,2724,1112,2761,832,216,100,2156,2806,1476,1550,183,195,215,621,2697,1442,1413,0.712574099122
2015-10-25 17:00:00,21,53,1.55882352941,760,456,90,3060,2791,2410,278,598,2724,1112,2761,832,232,171,2230,2896,1476,1590,273,214,215,621,2787,1532,1413,0.70455026234
