Date,MatchType,Points,PPG,Miguel Aguilar,Davy Arnaud,Jairo Arrieta,Steve Birnbaum,Bobby Boswell,Facundo Coria,Nick DeLeon,Conor Doyle,Andrew Dykstra,Fabian Espindola,Michael Farfan,Sean Franklin,Markus Halsti,Bill Hamid,Jared Jeffrey,Taylor Kemp,Perry Kitchen,Chris Korb,Luke Mishu,Kofi Opare,Chris Pontius,Chris Rolfe,Alvaro Saborio,Luis Silva,HHI
2015-03-07 15:00:00,21,3,3.0,13,90,89,90,90,0,90,24,0,0,1,90,0,90,0,0,90,90,0,0,66,77,0,0,0.939977553311
2015-03-22 17:00:00,21,3,1.5,13,180,155,180,180,0,180,48,0,0,1,180,0,180,0,20,180,160,0,0,156,167,0,0,0.930202020202
2015-03-28 19:00:00,21,6,2.0,13,270,237,185,270,0,270,56,0,0,13,270,0,270,0,110,270,160,0,85,246,245,0,0,0.868853971817
2015-04-03 19:00:00,21,9,2.25,13,360,291,185,360,0,315,92,0,0,58,360,0,360,0,200,360,160,0,175,336,321,0,14,0.835077160494
2015-04-11 19:00:00,21,10,2.0,13,450,366,185,450,0,315,117,0,0,123,450,0,450,1,290,450,160,0,265,425,411,0,29,0.825681705948
2015-04-18 19:00:00,21,11,1.83333333333,23,540,424,185,540,0,347,117,90,0,194,540,0,450,1,380,540,160,0,355,515,491,0,48,0.800567402419
2015-04-25 22:30:00,21,14,2.0,23,540,424,185,630,0,437,118,180,90,284,630,0,450,1,380,630,250,0,445,604,567,0,62,0.7605428434
2015-05-02 19:00:00,21,17,2.125,27,630,424,185,720,0,500,118,180,176,311,720,0,540,1,380,720,340,0,535,694,638,0,81,0.7582628367
2015-05-09 19:00:00,21,18,2.0,29,720,490,185,810,0,588,118,180,176,327,810,0,630,1,380,810,430,0,625,784,712,0,105,0.767800085907
2015-05-13 20:00:00,21,21,2.1,53,810,503,185,900,0,665,118,180,176,393,900,0,720,1,470,900,430,0,715,874,748,0,159,0.767026262626
2015-05-17 19:00:00,21,21,1.90909090909,118,820,562,185,990,0,665,118,180,176,483,900,80,810,1,560,990,520,0,805,905,838,0,184,0.742879483541
2015-05-23 19:30:00,21,22,1.83333333333,118,910,614,185,1080,15,665,193,180,176,521,990,80,900,1,585,1080,585,0,895,995,928,0,184,0.7456978738
2015-05-27 22:30:00,21,22,1.69230769231,203,910,704,275,1085,33,665,283,180,176,521,990,170,990,61,675,1110,675,72,985,995,928,0,184,0.695491403184
2015-05-30 19:00:00,21,25,1.78571428571,218,1000,729,365,1175,33,755,348,180,176,521,1080,170,1080,61,748,1200,692,72,985,1070,1018,0,184,0.695969215969
2015-06-03 19:00:00,21,28,1.86666666667,263,1017,802,455,1265,38,840,438,270,221,521,1170,260,1080,61,748,1290,692,72,1075,1070,1018,0,184,0.674945005612
2015-06-06 19:00:00,21,28,1.75,263,1107,855,545,1355,45,877,521,360,311,521,1260,260,1080,61,748,1380,692,72,1165,1070,1094,0,198,0.66684588945
2015-06-14 19:00:00,21,28,1.64705882353,296,1197,912,635,1445,45,951,537,360,401,521,1260,260,1170,61,838,1470,782,72,1165,1070,1172,0,210,0.661266179674
2015-06-21 17:00:00,21,31,1.72222222222,334,1285,912,725,1535,45,1041,589,360,491,521,1260,267,1260,61,928,1560,872,72,1165,1070,1255,0,212,0.657597234346
2015-06-24 20:30:00,21,34,1.78947368421,424,1285,1002,815,1625,108,1068,668,360,511,521,1260,357,1350,61,928,1571,872,162,1255,1070,1255,0,282,0.635226565439
2015-06-27 17:00:00,21,35,1.75,456,1375,1003,905,1715,126,1158,668,360,600,521,1260,357,1440,61,1018,1661,962,162,1255,1070,1327,0,340,0.633128002245
2015-07-03 23:00:00,21,35,1.66666666667,457,1465,1020,995,1805,126,1248,752,450,627,521,1260,357,1440,61,1108,1751,1052,162,1255,1070,1400,0,345,0.631601801835
2015-07-18 21:00:00,21,35,1.59090909091,502,1555,1110,1085,1895,131,1329,842,540,627,521,1260,366,1440,61,1198,1841,1097,162,1255,1070,1485,0,345,0.630109109129
2015-07-26 17:00:00,21,38,1.65217391304,516,1645,1119,1175,1985,131,1419,843,630,716,521,1260,366,1440,61,1288,1931,1187,162,1255,1070,1561,81,345,0.626616832204
2015-08-01 19:00:00,21,41,1.70833333333,516,1735,1127,1265,2075,131,1509,855,720,806,521,1260,366,1440,61,1378,2021,1277,162,1255,1070,1639,163,345,0.625041008752
2015-08-08 20:00:00,21,44,1.76,516,1825,1198,1355,2165,131,1554,900,720,806,521,1279,366,1530,61,1468,2111,1367,162,1255,1076,1723,253,345,0.627065243366
2015-08-13 19:00:00,21,44,1.69230769231,527,1825,1198,1445,2255,131,1554,976,720,806,546,1369,431,1620,61,1558,2201,1446,162,1255,1090,1813,343,345,0.624506958109
2015-08-22 19:00:00,21,44,1.62962962963,527,1915,1213,1445,2345,131,1599,1047,810,806,591,1459,431,1620,61,1648,2291,1446,162,1345,1109,1888,433,345,0.622800127868
2015-08-30 19:00:00,21,44,1.57142857143,527,1915,1227,1535,2435,131,1689,1074,810,806,621,1549,491,1710,61,1738,2381,1446,162,1345,1172,1978,509,345,0.622675482814
2015-09-12 21:00:00,21,45,1.55172413793,527,1915,1247,1625,2525,131,1779,1074,810,896,637,1639,565,1800,61,1828,2471,1446,162,1345,1182,2058,579,345,0.622294154661
2015-09-19 19:00:00,21,45,1.5,527,1915,1251,1715,2615,131,1869,1074,810,986,637,1729,640,1890,61,1918,2561,1446,162,1345,1197,2144,669,345,0.622689929369
2015-09-26 17:00:00,21,45,1.45161290323,527,1915,1265,1805,2705,131,1959,1119,810,1076,656,1819,730,1980,61,2008,2561,1446,162,1345,1268,2220,714,345,0.620579427945
2015-10-02 19:00:00,21,48,1.5,527,1915,1265,1805,2795,131,2049,1119,810,1166,656,1909,800,2070,61,2098,2651,1446,162,1435,1358,2310,734,345,0.62222979839
2015-10-18 14:00:00,21,51,1.54545454545,527,1915,1265,1805,2885,131,2131,1127,810,1256,660,1999,890,2160,61,2188,2741,1446,162,1525,1444,2386,748,345,0.623669338095
2015-10-25 17:00:00,21,51,1.5,527,1915,1265,1822,2975,131,2221,1148,810,1346,660,2089,949,2250,61,2261,2831,1446,162,1615,1534,2455,779,345,0.625406049134
