Date,MatchType,Points,PPG,David Accam, Adailton, Alex,Quincy Amarikwa,Jon Busch,Greg Cochrane,Razvan Cocis,Daneil Cyrus,Guilherme do Prado,Patrick Doody,Collin Fernandez,Eric Gehrig, Gilberto,Ty Harden,Kennedy Igboananike,Jason Johnson,Sean Johnson,Joevin Jones,Alec Kann,Jeff Larentowicz,Mike Magee,Shaun Maloney,Patrick Nyarko,Lovel Palmer,Victor Perez,Matt Polster,Chris Ritter,Harrison Shipp,Michael Stephens,Matt Watson,HHI
2015-03-06 22:00:00,21,0,0.0,0,0,0,90,0,0,0,0,18,0,0,90,0,0,72,0,90,90,0,90,0,90,0,90,0,27,63,90,34,56,0.889988776655
2015-03-14 18:00:00,21,0,0.0,0,90,8,166,90,0,0,0,32,0,0,180,0,0,103,0,90,180,0,180,0,180,0,180,0,86,63,180,116,56,0.80221661055
2015-03-22 19:00:00,21,0,0.0,45,180,8,240,90,0,0,0,48,0,0,270,0,0,126,0,180,225,0,270,0,270,0,270,0,176,63,270,183,56,0.79494201272
2015-03-29 17:00:00,21,3,0.75,45,270,8,330,90,0,0,0,54,0,0,360,0,0,192,0,270,309,0,360,0,270,0,360,0,266,63,360,273,80,0.804646464646
2015-04-04 15:00:00,21,6,1.2,135,360,8,404,180,0,0,0,54,0,0,450,0,0,208,0,270,399,0,450,0,360,0,360,2,354,145,450,281,80,0.772252300786
2015-04-24 20:00:00,21,9,1.5,225,450,8,428,180,0,0,0,120,0,0,540,0,0,208,0,360,489,0,540,0,450,0,360,2,444,145,540,281,170,0.756978426238
2015-05-03 17:00:00,21,9,1.28571428571,314,540,8,446,180,0,0,0,192,0,0,625,0,0,221,0,450,579,0,630,0,540,0,365,2,534,222,630,281,170,0.755291829644
2015-05-09 15:00:00,21,9,1.125,314,624,8,536,180,0,37,0,250,0,0,625,0,0,253,6,540,669,0,720,0,630,0,455,2,624,222,720,281,223,0.749612509446
2015-05-15 19:00:00,21,10,1.11111111111,402,714,8,558,180,0,127,0,250,0,0,625,0,0,321,8,630,759,0,810,0,720,0,545,2,714,222,791,300,223,0.742374302543
2015-05-22 20:00:00,21,11,1.1,492,804,8,577,270,0,198,0,257,0,0,715,0,0,404,31,630,849,0,900,0,810,0,545,2,804,222,858,300,223,0.732746338585
2015-05-30 20:30:00,21,14,1.27272727273,558,894,8,601,360,0,288,0,267,0,0,805,0,0,479,46,630,939,0,990,0,900,0,545,2,884,222,948,300,223,0.730134086421
2015-06-03 19:00:00,21,14,1.16666666667,635,894,8,691,450,0,316,0,280,0,0,895,0,0,499,46,630,1029,0,1080,0,900,0,635,2,974,222,1038,362,293,0.720330375368
