Date,MatchType,Points,PPG,Carlos Alvarez,Dominique Badji,Deshorn Brown,Marc Burch,Bobby Burling,Sam Cronin,Kevin Doyle,Charles Eloundou,Maynor Figueroa,Joseph Greenspan,Marlon Hairston,Michael Harrington,Clint Irwin,Nick LaBrocca,Zac MacMath,Drew Moor,Ben Newnam,Shane O'Neill,Lucas Pittinari,Dillon Powers,Juan Ramirez,James Riley,Vicente Sanchez,Marcelo Sarvas,Dillon Serna,Axel Sjoberg,Luis Solignac,Sean St Ledger,Gabriel Torres,Jared Watts,HHI
2015-03-07 16:00:00,21,1,1.0,0,88,2,0,68,0,0,0,0,0,0,90,90,0,0,0,0,16,90,35,0,90,55,90,90,90,0,0,74,0,0.928038129226
2015-03-21 16:00:00,21,2,1.0,31,147,2,90,68,90,0,0,0,0,0,180,180,0,0,0,0,106,180,108,17,90,133,102,90,180,0,0,164,0,0.767166680056
2015-03-28 20:30:00,21,3,1.0,31,160,2,180,158,180,0,0,0,0,0,270,270,0,0,0,0,106,270,191,94,90,140,192,90,180,0,0,254,90,0.720526438364
2015-04-04 19:00:00,21,3,0.75,31,192,2,270,248,238,0,0,0,0,0,360,360,0,0,0,0,106,360,257,176,90,164,282,98,180,0,0,344,180,0.732866412636
2015-04-10 19:00:00,21,6,1.2,31,281,2,270,338,238,0,0,0,0,0,450,450,18,0,90,0,106,450,338,248,180,165,372,107,180,0,0,434,180,0.719846141582
2015-04-18 21:00:00,21,6,1.0,31,281,2,270,428,238,0,0,0,0,0,540,540,42,0,180,0,106,540,428,338,260,231,462,117,180,0,0,524,180,0.721682071332
2015-04-24 22:00:00,21,7,1.0,31,346,2,270,428,238,0,0,0,0,0,630,630,132,0,270,0,106,630,518,428,350,256,462,117,270,0,0,614,180,0.708732882396
2015-04-29 19:30:00,21,8,1.0,31,419,2,270,518,259,0,17,0,0,0,720,720,222,0,270,90,106,720,608,515,350,256,462,120,360,0,0,683,180,0.698512228687
2015-05-02 22:30:00,21,9,1.0,31,447,2,270,518,349,0,17,0,0,0,810,810,284,0,270,90,196,810,692,591,440,262,462,134,450,0,0,773,180,0.694377946458
2015-05-08 22:00:00,21,10,1.0,31,492,2,270,518,423,0,33,0,0,0,900,900,284,0,360,90,196,900,782,681,530,307,462,134,540,0,0,863,180,0.699135916985
2015-05-23 21:00:00,21,13,1.18181818182,31,492,2,360,518,513,27,33,0,0,0,900,990,284,0,450,90,196,990,872,767,620,311,462,134,630,90,0,926,180,0.685618105525
2015-05-27 22:00:00,21,13,1.08333333333,31,492,2,450,608,603,110,40,0,0,0,990,1080,284,0,450,90,196,1080,946,812,620,327,462,134,630,180,0,971,270,0.669416793842
2015-05-30 21:00:00,21,13,1.0,31,492,2,450,608,693,165,40,0,0,0,1080,1170,355,0,540,90,196,1099,991,902,710,372,462,134,720,215,0,1061,270,0.664002126017
2015-06-07 17:00:00,21,14,1.0,31,492,2,450,698,783,165,48,0,0,0,1170,1260,400,0,540,90,196,1127,1081,947,800,372,524,134,810,305,0,1143,270,0.664333667046
2015-06-19 21:00:00,21,15,1.0,31,492,2,450,788,873,210,48,0,0,0,1170,1350,400,0,630,90,196,1150,1156,947,890,387,591,224,810,395,0,1188,360,0.646376271854
2015-06-24 19:30:00,21,15,0.9375,31,492,2,540,788,897,269,79,0,90,0,1170,1440,400,0,720,90,286,1240,1246,947,890,387,657,292,810,485,0,1210,360,0.623768348272
2015-06-27 20:30:00,21,15,0.882352941176,31,492,2,540,878,987,290,79,0,180,0,1170,1530,400,0,720,90,286,1313,1263,947,980,403,747,361,810,575,0,1284,450,0.613079333327
2015-07-04 21:00:00,21,18,1.0,31,492,2,540,968,1077,380,79,0,180,0,1170,1620,400,0,810,90,286,1403,1269,947,1070,476,831,378,810,665,0,1284,540,0.605372112337
2015-07-11 21:00:00,21,21,1.10526315789,31,492,2,540,1058,1167,470,96,0,180,0,1170,1710,400,0,900,90,286,1493,1269,957,1160,556,921,378,810,738,0,1284,630,0.600771943724
2015-07-18 22:00:00,21,24,1.2,31,492,2,540,1058,1257,560,171,0,180,0,1260,1800,400,0,990,90,286,1521,1331,972,1250,646,1011,378,810,738,0,1284,720,0.596422458365
2015-08-01 21:00:00,21,24,1.14285714286,31,492,2,540,1148,1347,650,236,0,180,0,1260,1890,433,0,1080,90,286,1521,1388,997,1340,722,1101,378,810,738,0,1298,810,0.592416309071
2015-08-08 21:00:00,21,24,1.09090909091,31,492,2,630,1238,1437,740,302,0,180,0,1260,1980,433,0,1170,90,286,1521,1388,1021,1340,800,1184,390,899,738,0,1305,900,0.585612609888
2015-08-14 23:00:00,21,24,1.04347826087,31,492,2,630,1328,1527,830,330,90,180,0,1260,2070,433,0,1260,90,286,1521,1469,1111,1340,862,1229,390,899,738,90,1314,945,0.57821506031
2015-08-22 20:30:00,21,27,1.125,31,492,2,630,1418,1527,920,343,180,180,0,1260,2160,523,0,1350,90,286,1521,1546,1111,1340,863,1319,480,899,738,180,1403,945,0.568999240102
2015-08-26 21:00:00,21,30,1.2,31,492,2,630,1508,1617,1010,343,270,180,0,1260,2250,523,0,1440,90,286,1521,1579,1136,1340,928,1409,570,899,738,270,1460,945,0.564431164652
2015-08-29 21:00:00,21,33,1.26923076923,31,520,2,630,1508,1707,1100,343,360,180,0,1260,2340,524,0,1530,90,286,1531,1659,1198,1340,1017,1499,570,989,738,360,1460,945,0.560917777621
2015-09-09 22:00:00,21,33,1.22222222222,31,520,2,720,1598,1797,1132,343,360,180,0,1260,2430,601,0,1530,90,286,1611,1669,1288,1430,1030,1589,570,989,738,450,1518,945,0.56037930362
2015-09-12 21:00:00,21,34,1.21428571429,31,546,2,720,1688,1887,1219,343,450,180,0,1260,2520,604,0,1620,90,286,1701,1744,1288,1430,1120,1589,634,989,738,540,1518,960,0.558422497091
2015-09-19 14:00:00,21,34,1.1724137931,31,546,2,720,1778,1974,1219,343,540,180,0,1260,2610,604,0,1710,90,286,1791,1834,1309,1430,1189,1592,679,989,828,630,1563,960,0.557998367201
2015-09-26 20:30:00,21,34,1.13333333333,31,546,2,720,1868,1974,1219,343,630,180,0,1260,2700,604,0,1800,90,286,1881,1915,1318,1430,1279,1682,679,989,918,688,1595,1050,0.557827514039
2015-10-04 19:00:00,21,34,1.09677419355,31,558,2,720,1958,1974,1309,343,720,180,0,1260,2790,604,0,1890,90,286,1971,1993,1350,1430,1369,1772,679,989,976,778,1595,1050,0.558191516919
2015-10-10 18:00:00,21,34,1.0625,31,648,2,720,1958,2059,1309,343,720,185,90,1260,2790,604,90,1980,90,286,2061,2083,1422,1430,1387,1772,679,1079,1066,868,1595,1050,0.5492309236
2015-10-21 20:30:00,21,37,1.12121212121,31,722,2,720,1958,2143,1399,343,810,185,180,1260,2790,607,180,1980,90,286,2151,2166,1438,1430,1387,1779,679,1169,1153,958,1595,1050,0.53984643572
2015-10-25 19:00:00,21,37,1.08823529412,31,812,2,720,1958,2143,1489,343,900,185,270,1260,2790,607,270,1980,90,286,2241,2236,1458,1430,1398,1869,679,1259,1232,1048,1595,1050,0.531295234722
