Date,MatchType,Points,PPG,Juan Agudelo,Kevin Alston,Darrius Barnes,Teal Bunbury,Scott Caldwell,Charlie Davies,Andy Dorman,Diego Fagundez,Andrew Farrell,Jose Goncalves,Jeremy Hall,Jermaine Jones,Brad Knighton,Daigo Kobayashi,Steve Neumann,Lee Nguyen,Sean Okoli,Kelyn Rowe,Bobby Shuttleworth,Chris Tierney,London Woodberry,HHI
2015-03-08 21:30:00,21,0,0.0,68,90,0,90,90,0,57,77,90,90,0,0,0,33,13,0,22,90,90,90,0,0.901728395062
2015-03-15 17:00:00,21,0,0.0,133,149,31,90,109,25,147,167,180,156,0,0,0,123,13,71,22,180,180,180,0,0.821460160337
2015-03-21 15:00:00,21,1,0.333333333333,217,149,121,90,199,53,147,257,270,156,90,0,0,213,19,161,22,242,270,270,0,0.765449740498
2015-03-28 15:00:00,21,4,1.0,288,149,211,90,289,136,147,257,360,246,90,0,0,303,38,251,29,332,360,360,0,0.761287304184
2015-04-04 19:00:00,21,7,1.4,359,178,301,109,379,222,237,257,450,307,90,0,0,303,38,341,33,422,450,450,0,0.760100729118
2015-04-11 15:00:00,21,8,1.33333333333,436,268,391,199,469,253,282,270,540,397,90,45,0,303,38,431,33,481,540,450,0,0.74038094056
2015-04-19 17:00:00,21,11,1.57142857143,507,328,391,228,559,343,372,289,630,397,90,135,0,303,38,521,33,542,630,480,90,0.714372573692
2015-04-25 19:30:00,21,14,1.75,597,328,391,296,649,405,462,317,720,397,90,225,0,303,48,601,33,564,720,570,180,0.703715198544
2015-05-02 19:30:00,21,17,1.88888888889,680,328,391,386,739,495,536,324,810,413,90,315,0,303,48,635,33,620,810,660,270,0.701659082416
2015-05-08 20:00:00,21,18,1.8,752,346,391,476,829,556,626,328,900,413,90,405,0,303,48,721,33,649,900,750,360,0.705047489641
2015-05-16 19:30:00,21,19,1.72727272727,815,346,391,566,919,638,653,336,990,503,90,468,0,303,48,811,33,676,990,840,450,0.708652927761
2015-05-20 20:00:00,21,19,1.58333333333,905,419,391,602,1009,674,743,390,990,593,90,558,90,303,48,901,33,730,990,857,540,0.688004436618
2015-05-23 19:30:00,21,20,1.53846153846,961,453,391,691,1099,751,743,390,1080,683,90,648,90,303,48,959,34,743,1080,909,630,0.691474730132
2015-05-31 19:00:00,21,21,1.5,1051,543,391,781,1189,820,798,467,1170,773,90,683,90,316,48,959,34,764,1170,909,720,0.689170335866
2015-06-06 22:30:00,21,21,1.4,1051,569,391,845,1279,898,882,467,1260,863,90,683,90,322,48,1049,46,854,1260,999,810,0.693531219796
2015-06-13 19:30:00,21,24,1.5,1072,569,391,914,1369,988,968,540,1350,953,90,683,90,322,52,1139,46,871,1350,1089,900,0.698165799829
2015-06-21 17:00:00,21,24,1.41176470588,1162,600,391,992,1459,1078,1037,552,1440,1043,90,683,90,322,73,1229,46,871,1440,1179,959,0.703988275409
2015-06-24 19:30:00,21,24,1.33333333333,1207,600,391,1082,1529,1123,1057,570,1530,1133,180,683,90,394,73,1319,46,961,1530,1269,959,0.700518322912
2015-06-27 19:30:00,21,24,1.26315789474,1220,645,391,1172,1619,1213,1057,660,1559,1223,180,683,90,456,73,1396,46,989,1620,1359,1004,0.699527585527
2015-07-04 21:00:00,21,24,1.2,1254,707,391,1248,1709,1269,1057,750,1559,1313,208,683,90,546,73,1486,46,1003,1710,1449,1094,0.695645278133
2015-07-11 19:00:00,21,24,1.14285714286,1321,707,391,1305,1799,1359,1115,783,1649,1400,208,683,90,578,73,1576,46,1026,1800,1539,1184,0.700959048469
2015-07-18 19:30:00,21,27,1.22727272727,1339,707,391,1377,1889,1440,1126,873,1739,1400,298,683,180,657,73,1666,46,1035,1800,1629,1274,0.691468889952
2015-07-25 20:30:00,21,28,1.21739130435,1353,707,391,1447,1979,1530,1126,949,1829,1490,388,683,270,738,82,1756,46,1055,1800,1719,1274,0.684701349736
2015-08-01 19:30:00,21,31,1.29166666667,1372,707,391,1472,2069,1601,1126,1039,1919,1580,478,697,270,814,82,1821,46,1145,1890,1809,1274,0.683741600937
2015-08-15 19:30:00,21,34,1.36,1403,707,391,1485,2159,1660,1126,1129,2009,1670,568,742,270,859,82,1911,46,1222,1980,1899,1274,0.683871872234
2015-08-29 19:00:00,21,37,1.42307692308,1416,707,391,1511,2249,1737,1126,1193,2099,1760,658,804,270,887,82,2001,46,1312,2070,1989,1274,0.684903349332
2015-09-05 19:30:00,21,40,1.48148148148,1438,707,391,1524,2339,1805,1126,1283,2189,1850,748,804,270,976,83,2091,46,1389,2160,2079,1274,0.68631213535
2015-09-13 17:00:00,21,43,1.53571428571,1460,707,391,1586,2429,1873,1126,1373,2279,1940,838,885,270,985,83,2181,46,1417,2250,2169,1274,0.687959565442
2015-09-16 19:30:00,21,46,1.58620689655,1526,797,391,1597,2519,1897,1127,1452,2369,2030,838,885,270,1074,83,2271,46,1507,2340,2169,1364,0.686981747616
2015-09-19 20:00:00,21,46,1.53333333333,1546,797,391,1658,2548,1987,1127,1481,2459,2120,908,975,270,1074,144,2361,46,1597,2430,2259,1364,0.685535365791
2015-09-26 19:30:00,21,47,1.51612903226,1581,797,391,1666,2638,2042,1127,1571,2549,2210,998,1065,270,1074,144,2451,46,1679,2520,2349,1364,0.687306397324
