Date,MatchType,Points,PPG,Kellyn Acosta,Tesho Akindele,Michael Barrios,Kyle Bekker,Fabian Castillo,Ezequiel Cirigliano,Coy Craft,Mauro Diaz,Rolando Escobar,Jesse Gonzalez,Atiba Harris,Matt Hedges,Moises Hernandez,Ryan Hollingshead,Dan Kennedy,Zach Loyd, Michel,Blas Perez,Chris Seitz,David Texeira,Victor Ulloa,Je-Vaughn Watson,Alejandro Zendejas,Walker Zimmerman,HHI
2015-03-07 20:30:00,21,3,3.0,0,90,15,0,90,0,0,86,0,0,89,90,90,75,0,90,4,90,90,0,90,0,0,1,0.965028058361
2015-03-14 20:30:00,21,6,3.0,0,166,29,1,179,0,0,155,0,0,179,180,180,96,0,180,94,180,180,0,180,0,0,1,0.923002244669
2015-03-21 16:00:00,21,9,3.0,0,256,29,12,269,0,0,242,0,0,269,270,270,141,0,270,139,259,270,3,270,0,0,1,0.923556553186
2015-03-28 20:30:00,21,10,2.5,17,346,33,12,359,0,0,242,0,0,359,360,270,227,0,360,229,259,360,62,360,0,0,32,0.877147105764
2015-04-04 22:30:00,21,10,2.0,17,436,36,12,449,0,0,242,0,0,446,450,270,296,0,450,319,287,450,124,450,21,0,122,0.849218980481
2015-04-10 19:00:00,21,10,1.66666666667,17,526,51,57,539,0,0,242,0,0,491,450,315,371,0,540,364,377,540,124,540,111,0,212,0.809912116747
2015-04-18 20:30:00,21,13,1.85714285714,18,550,117,57,628,0,0,242,0,0,499,540,405,453,0,630,454,467,630,124,630,201,0,212,0.795004552362
2015-04-24 22:00:00,21,14,1.75,108,576,117,57,718,0,0,306,0,0,507,604,495,535,90,720,454,526,630,124,720,291,0,238,0.756973563663
2015-05-01 20:00:00,21,17,1.88888888889,198,592,117,57,804,0,0,380,0,0,507,694,585,625,180,752,454,526,630,214,810,381,4,296,0.720784107051
2015-05-09 20:30:00,21,20,2.0,258,637,117,87,894,0,0,470,0,0,597,694,675,670,270,752,459,611,630,214,900,471,4,386,0.69949605684
2015-05-15 21:00:00,21,21,1.90909090909,342,696,148,87,983,0,0,560,0,0,597,784,765,671,360,752,465,701,630,214,990,561,4,476,0.68872915557
2015-05-23 20:00:00,21,21,1.75,342,733,148,104,1073,0,0,650,0,0,607,874,845,744,450,752,518,791,630,214,1080,651,4,566,0.6882004188
2015-05-29 21:00:00,21,21,1.61538461538,342,807,148,194,1073,0,0,722,45,0,607,964,935,834,540,795,536,836,630,230,1170,741,4,566,0.677781727689
2015-06-07 19:00:00,21,22,1.57142857143,342,897,223,194,1103,0,0,812,45,0,697,1044,945,849,630,795,596,836,630,320,1260,816,4,656,0.665343441363
2015-06-13 22:00:00,21,22,1.46666666667,342,897,223,268,1193,0,6,902,61,0,697,1044,945,939,720,885,686,926,630,320,1350,816,88,746,0.653809174235
2015-06-19 21:00:00,21,23,1.4375,432,897,302,313,1283,0,6,966,61,0,697,1055,945,1029,810,975,731,1016,630,320,1440,816,114,836,0.646461976345
2015-06-26 21:00:00,21,26,1.52941176471,522,927,302,313,1358,0,6,1056,61,0,787,1145,960,1100,900,1065,731,1035,630,380,1530,906,114,836,0.64611346937
2015-07-04 21:00:00,21,29,1.61111111111,612,927,332,313,1448,0,6,1135,85,0,877,1235,960,1160,990,1155,731,1035,630,446,1620,996,125,836,0.643851060288
2015-07-11 19:30:00,21,32,1.68421052632,702,927,407,313,1538,0,6,1225,100,0,967,1325,960,1250,1080,1245,732,1035,630,528,1709,996,133,836,0.64225265192
2015-07-18 21:00:00,21,35,1.75,792,938,486,313,1628,0,6,1314,105,0,1057,1415,960,1340,1170,1335,732,1035,630,613,1799,996,133,837,0.643274848128
2015-07-25 21:00:00,21,38,1.80952380952,882,944,576,313,1712,0,6,1402,117,0,1147,1505,960,1430,1260,1425,732,1035,630,691,1889,996,135,837,0.644846315703
2015-08-02 19:00:00,21,38,1.72727272727,972,989,666,313,1802,0,6,1492,149,0,1237,1595,968,1512,1350,1515,732,1035,630,736,1947,996,135,837,0.645692953416
2015-08-15 21:00:00,21,38,1.65217391304,1062,1005,756,313,1892,0,6,1492,239,0,1326,1685,968,1595,1440,1515,732,1125,630,736,2021,1086,142,838,0.642507221423
2015-08-22 22:00:00,21,38,1.58333333333,1152,1037,846,313,1982,0,6,1492,312,90,1416,1775,968,1601,1440,1605,732,1183,630,753,2105,1176,142,838,0.636615438405
2015-08-29 21:00:00,21,41,1.64,1242,1127,936,313,2069,0,6,1492,315,180,1416,1865,968,1678,1440,1695,732,1202,630,824,2195,1266,142,851,0.633920695498
2015-09-06 19:00:00,21,44,1.69230769231,1332,1127,1026,313,2069,11,67,1492,344,270,1506,1955,968,1768,1440,1785,732,1202,630,903,2285,1266,187,896,0.625072999003
2015-09-12 20:30:00,21,47,1.74074074074,1422,1210,1116,313,2159,11,67,1492,367,360,1582,2045,968,1782,1440,1875,822,1202,630,970,2285,1356,187,903,0.619504627714
2015-09-18 19:00:00,21,47,1.67857142857,1422,1236,1206,313,2204,75,67,1492,367,450,1672,2135,968,1782,1440,1946,912,1221,630,1015,2375,1446,187,993,0.613766260448
2015-09-27 21:30:00,21,47,1.62068965517,1446,1315,1296,313,2294,141,67,1570,367,540,1762,2225,968,1794,1440,2036,912,1232,630,1015,2465,1536,187,993,0.613462120455
2015-10-04 17:00:00,21,50,1.66666666667,1536,1317,1386,313,2382,141,67,1641,386,630,1835,2315,968,1811,1440,2126,912,1232,630,1105,2555,1626,187,993,0.614745250654
2015-10-07 22:00:00,21,51,1.64516129032,1606,1407,1476,313,2382,161,67,1729,386,720,1837,2405,968,1901,1440,2216,912,1239,630,1188,2645,1716,187,993,0.614241677378
2015-10-14 21:00:00,21,54,1.6875,1606,1476,1566,313,2382,251,67,1819,398,810,1846,2495,968,1991,1440,2306,912,1252,630,1265,2735,1806,187,993,0.612031965581
2015-10-17 21:30:00,21,57,1.72727272727,1606,1476,1656,313,2469,341,67,1907,398,900,1849,2585,968,2081,1440,2306,914,1269,630,1338,2825,1896,187,1083,0.610079808273
2015-10-25 19:00:00,21,60,1.76470588235,1606,1502,1745,313,2559,431,67,1992,398,990,1849,2675,968,2171,1440,2396,914,1274,630,1402,2915,1986,187,1084,0.611210841394
