Date,MatchType,Points,PPG,Fatai Alashe,Quincy Amarikwa,Leandro Barrera,Victor Bernardez,David Bingham,Cordell Cato,Innocent Emeghara,Shaun Francis,Mike Fucito,Aníbal Godoy,Clarence Goodson,Ty Harden,Adam Jahn,J.J. Koval,Sanna Nyassi,Marc Pelosi,Matias Perez Garcia,Jean-Baptiste Pierazzi,Paulo Renato,Shea Salinas,Mark Sherrod,Khari Stephenson,Jordan Stewart,Tommy Thompson,Chris Wondolowski,Marvell Wynne,HHI
2015-03-07 20:30:00,21,0,0.0,9,0,0,90,90,0,1,90,0,0,0,0,30,60,90,0,81,90,90,89,0,0,0,0,90,90,0.941234567901
2015-03-14 22:00:00,21,3,1.5,99,0,0,142,180,0,91,180,0,0,0,33,56,150,162,0,138,90,154,107,0,0,0,0,180,180,0.825792471901
2015-03-22 19:00:00,21,6,2.0,189,0,0,142,270,3,167,270,0,0,90,123,63,240,249,0,221,90,154,121,0,0,0,0,270,270,0.790110164176
2015-03-28 15:00:00,21,6,1.5,189,0,0,232,360,38,257,360,0,0,180,123,108,285,294,0,311,180,154,166,0,0,0,0,360,325,0.7571022236
2015-04-05 17:00:00,21,6,1.2,279,0,11,311,450,128,347,397,0,0,270,123,198,338,358,0,401,180,154,192,0,0,0,0,450,325,0.730878610118
2015-04-11 22:30:00,21,9,1.5,369,0,11,401,540,218,347,397,1,0,360,123,286,364,447,0,481,180,154,282,0,0,0,10,514,415,0.719401264005
2015-04-17 19:00:00,21,9,1.28571428571,459,0,22,491,630,308,437,397,1,0,450,123,286,420,515,0,571,180,154,361,0,0,0,32,548,505,0.718888989533
2015-05-01 22:00:00,21,10,1.25,549,0,22,581,720,398,494,397,1,0,540,123,319,425,590,0,656,180,154,451,0,0,0,47,638,595,0.727773551238
2015-05-05 20:30:00,21,13,1.44444444444,578,0,22,671,810,423,494,397,1,0,630,123,409,486,655,0,739,180,154,541,0,0,90,54,728,685,0.722991602364
2015-05-08 22:00:00,21,14,1.4,578,0,28,761,900,513,494,397,1,0,630,123,499,486,722,0,757,180,244,625,0,90,113,126,818,775,0.698044406683
2015-05-16 22:30:00,21,17,1.54545454545,668,0,28,851,990,525,494,397,1,0,720,123,588,487,800,0,838,180,244,715,0,99,203,126,908,865,0.703604000934
2015-05-24 19:00:00,21,18,1.5,758,0,28,941,1080,544,494,397,1,0,810,123,656,487,871,0,928,180,244,805,0,121,293,126,998,955,0.709951564212
2015-05-30 17:00:00,21,18,1.38461538462,758,0,28,1031,1170,576,494,397,1,0,855,123,746,562,929,0,928,180,289,895,15,211,383,126,1088,1045,0.700553590966
2015-06-07 19:00:00,21,19,1.35714285714,848,0,28,1121,1260,658,494,398,1,0,945,123,777,567,929,0,987,180,289,984,68,211,473,126,1178,1135,0.702035890555
2015-06-20 16:00:00,21,22,1.46666666667,938,0,28,1211,1350,703,494,399,1,0,1035,123,867,567,1019,0,1065,180,289,1073,68,211,563,138,1268,1180,0.708541147058
2015-06-27 22:30:00,21,25,1.5625,1028,0,28,1301,1440,733,494,399,1,0,1125,123,912,567,1079,0,1151,180,289,1163,113,211,653,142,1358,1270,0.713768721495
2015-07-05 23:00:00,21,25,1.47058823529,1118,0,100,1391,1530,733,494,417,1,0,1215,123,926,568,1079,0,1151,270,289,1253,189,211,743,231,1358,1360,0.696208089107
2015-07-10 23:00:00,21,25,1.38888888889,1208,84,111,1481,1620,733,494,507,7,0,1305,123,926,568,1169,0,1219,270,289,1332,211,211,743,321,1358,1450,0.688821820636
2015-07-17 23:00:00,21,25,1.31578947368,1298,174,139,1571,1710,733,494,507,7,0,1395,123,936,568,1231,0,1309,270,289,1401,232,211,833,401,1358,1540,0.684862848544
2015-07-26 19:00:00,21,25,1.25,1388,264,139,1661,1800,823,494,507,7,0,1408,123,936,568,1231,20,1399,270,366,1491,232,211,923,407,1428,1624,0.681269620529
2015-08-02 17:00:00,21,26,1.2380952381,1478,354,139,1751,1890,887,494,597,7,0,1408,123,936,568,1257,33,1481,270,366,1568,232,211,1013,415,1518,1714,0.68039917548
