Date,MatchType,Points,PPG,Saad Abdul-Salaam,Jalil Anibaba,Bernardo Anor,Matt Besler,Servando Carrasco,Marcel de Jong,Amadou Dia,Dominic Dwyer,Kevin Ellis,Roger Espinoza,Benny Feilhaber,Connor Hallisey,Jon Kempin,Mikey Lopez,Luis Marin,Jimmy Medranda,Tim Melia,Soni Mustivar,Chance Myers,Paulo Nagamura,Krisztian Nemeth,Amobi Okugo,Ike Opara,Erik Palmer-Brown,Jacob Peterson,Jordi Quintilla,Seth Sinovic,Graham Zusi,HHI
2015-03-08 19:00:00,21,1,1.0,0,0,61,70,0,0,90,90,0,90,90,0,0,0,90,0,0,0,0,29,77,0,90,5,13,0,90,85,0.92954617919
2015-03-14 20:30:00,21,1,0.5,0,0,75,70,0,90,180,180,90,180,180,0,0,0,180,0,0,0,0,119,153,0,180,5,15,0,90,173,0.850352457309
2015-03-21 20:30:00,21,2,0.666666666667,0,90,109,160,6,180,180,270,90,269,264,0,0,0,270,56,0,1,0,209,153,0,270,5,15,0,90,263,0.792556162022
2015-03-28 19:00:00,21,5,1.25,0,180,160,250,96,180,180,360,90,269,354,0,0,0,360,123,0,13,0,287,153,0,360,5,38,0,180,302,0.733570950037
2015-04-05 19:00:00,21,8,1.6,0,270,160,340,173,225,180,450,90,359,444,0,0,0,450,187,0,26,0,287,179,0,450,5,128,0,225,302,0.713708100013
2015-04-11 20:30:00,21,9,1.5,0,360,173,430,263,315,180,540,96,449,534,0,0,0,540,187,0,26,0,287,269,0,534,5,205,0,225,302,0.716817305058
2015-04-18 22:30:00,21,9,1.28571428571,0,450,188,520,353,390,195,630,186,539,624,0,0,0,630,187,0,26,0,287,344,0,534,5,206,0,225,391,0.713875190845
2015-04-25 20:30:00,21,10,1.25,0,540,188,610,408,453,222,720,275,629,714,1,0,0,720,187,0,61,0,287,434,0,534,5,206,0,225,481,0.715040890883
2015-05-03 17:00:00,21,13,1.44444444444,0,630,188,700,408,453,235,810,365,694,804,1,0,0,720,187,90,146,0,312,524,0,534,5,211,0,302,571,0.691489812367
2015-05-09 19:00:00,21,14,1.4,0,720,188,790,408,453,236,881,365,784,894,6,0,0,720,187,180,236,0,312,543,0,534,95,296,0,392,660,0.668607357111
2015-05-20 20:00:00,21,17,1.54545454545,1,810,188,880,412,453,326,971,455,784,984,17,0,0,720,187,270,326,0,398,632,0,534,95,375,0,392,660,0.651171653962
2015-05-23 22:00:00,21,18,1.5,33,900,188,970,489,453,416,971,545,784,1074,51,0,0,720,245,360,416,0,398,722,0,534,95,431,0,392,673,0.630521073571
2015-05-29 21:00:00,21,21,1.61538461538,40,990,188,1060,508,478,506,971,635,855,1164,116,0,0,720,245,450,506,0,398,812,0,534,95,431,0,392,756,0.625437126981
2015-06-06 20:30:00,21,24,1.71428571429,45,1080,188,1150,508,536,596,1003,725,945,1254,201,0,0,720,245,540,596,0,398,812,0,534,95,431,0,392,846,0.623475830298
2015-06-21 22:00:00,21,24,1.6,46,1170,188,1240,508,536,685,1093,815,1035,1344,201,0,0,720,245,630,686,0,398,887,0,534,95,446,0,392,936,0.632671067786
2015-06-27 20:30:00,21,27,1.6875,58,1170,188,1330,508,614,686,1183,905,1125,1434,201,0,0,720,245,720,776,89,398,958,0,534,95,465,0,392,1026,0.631279581768
2015-07-12 21:00:00,21,30,1.76470588235,148,1170,188,1420,508,614,776,1273,995,1215,1524,208,0,0,720,245,810,866,89,398,1048,0,534,95,548,0,392,1026,0.629939042969
