Date,MatchType,Points,PPG,Edson Buddle,A.J. DeLaGarza,Giovani dos Santos,Todd Dunivant,Rafael Garcia,Dan Gargan,Steven Gerrard,Omar Gonzalez,Alan Gordon,Baggio Husidic,Stefan Ishizaki,Bradford Jamieson, Juninho,Robbie Keane,Ariel Lassiter, Leonardo,Sebastian Lletget,Ignacio Maganto,Tommy Meyer,Jaime Penedo,Donovan Ricketts,Robbie Rogers,David Romney,Brian Rowe,Oscar Sorto,Mika Vayrynen,Jose Villarreal,Kenney Walker,Gyasi Zardes,HHI
2015-03-06 22:00:00,21,3,3.0,0,7,0,0,0,83,0,90,20,27,90,0,90,90,0,90,0,0,0,0,0,90,0,90,0,0,70,63,90,0.917351290685
2015-03-15 19:00:00,21,4,2.0,0,7,0,3,0,173,0,180,34,89,180,0,180,180,0,180,0,0,0,0,0,177,0,180,0,28,146,63,180,0.90702020202
2015-03-21 22:30:00,21,5,1.66666666667,4,7,0,3,0,259,0,270,56,157,248,0,270,270,0,270,0,0,0,90,0,267,0,180,0,50,236,63,270,0.866564409527
2015-03-28 19:00:00,21,5,1.25,22,97,0,3,4,292,0,360,146,247,338,0,360,270,0,327,0,0,0,90,0,357,0,270,0,122,322,63,270,0.795921717172
2015-04-04 22:00:00,21,5,1.0,48,187,0,67,4,292,0,450,158,337,428,0,450,360,0,327,0,0,78,180,0,407,0,270,0,162,322,63,360,0.732129292929
2015-04-12 19:00:00,21,8,1.33333333333,48,277,0,67,94,377,0,540,248,420,518,0,540,360,0,327,0,0,83,270,0,497,0,270,0,162,329,63,450,0.717388701833
2015-04-18 22:30:00,21,11,1.57142857143,48,367,0,67,160,467,0,552,338,510,587,90,630,360,0,327,0,0,161,360,0,587,0,270,0,186,329,63,471,0.685300625301
2015-04-26 17:00:00,21,12,1.5,66,457,0,67,161,557,0,642,410,600,653,179,720,360,0,327,0,0,161,450,0,677,0,270,0,210,329,63,561,0.690619388328
2015-05-02 22:30:00,21,13,1.44444444444,66,457,0,67,230,647,0,732,428,690,674,269,752,360,0,417,0,72,161,540,0,767,0,270,0,268,329,63,651,0.675017666376
2015-05-06 21:30:00,21,14,1.4,66,547,0,67,320,737,0,822,500,780,746,351,770,360,0,507,0,90,161,630,0,767,0,270,0,276,329,63,741,0.670768799102
2015-05-09 20:30:00,21,14,1.27272727273,66,547,0,67,320,827,0,912,522,870,836,367,860,360,0,507,0,164,251,720,0,857,0,270,0,344,329,63,831,0.672667724073
2015-05-17 17:00:00,21,14,1.16666666667,66,637,0,67,320,827,0,912,567,960,926,412,950,360,0,597,21,229,341,810,0,857,0,270,0,413,354,63,921,0.660323294675
2015-05-22 22:30:00,21,17,1.30769230769,66,637,0,67,320,917,0,1002,589,1050,1011,412,1040,394,0,687,21,234,341,900,0,857,0,270,89,469,422,63,1011,0.659748354762
2015-05-27 22:30:00,21,20,1.42857142857,82,637,0,67,320,1007,0,1092,663,1140,1011,412,1130,439,0,777,21,324,341,990,0,857,0,270,89,551,467,71,1101,0.657821792249
2015-05-31 19:00:00,21,21,1.4,103,637,0,67,320,1072,0,1182,704,1230,1101,412,1220,439,0,867,21,414,341,1080,0,857,0,270,179,576,495,71,1191,0.657880195372
2015-06-06 22:30:00,21,21,1.3125,163,637,0,67,320,1072,0,1272,734,1320,1191,412,1310,529,0,957,36,489,341,1080,0,857,0,360,269,632,495,105,1191,0.641084248051
2015-06-13 19:30:00,21,22,1.29411764706,163,637,0,67,320,1162,0,1362,740,1410,1281,412,1400,529,0,1047,120,489,341,1170,0,947,0,360,269,713,555,114,1221,0.644144016953
2015-06-20 22:30:00,21,25,1.38888888889,163,727,0,67,320,1252,0,1452,759,1500,1371,412,1468,619,0,1047,153,489,341,1260,0,1037,0,360,269,770,577,114,1292,0.647821974349
2015-06-24 23:00:00,21,28,1.47368421053,163,817,0,67,320,1342,0,1542,783,1590,1461,412,1544,709,0,1047,219,489,341,1350,0,1127,0,360,269,770,584,128,1375,0.651299090744
2015-06-27 22:30:00,21,28,1.4,163,862,0,67,320,1432,0,1587,806,1680,1539,412,1634,799,0,1137,286,489,341,1440,0,1217,0,360,269,770,596,128,1465,0.655557097249
2015-07-04 22:30:00,21,31,1.47619047619,163,952,0,67,320,1492,0,1587,806,1766,1629,412,1724,889,0,1227,376,509,371,1440,0,1307,0,450,269,770,666,132,1465,0.647481578738
2015-07-17 23:00:00,21,34,1.54545454545,165,1042,0,67,320,1582,88,1587,806,1856,1629,412,1814,979,0,1317,466,517,371,1440,0,1397,0,540,269,770,666,214,1465,0.635195998516
2015-07-25 21:00:00,21,34,1.47826086957,210,1132,0,67,320,1672,174,1587,806,1856,1629,457,1904,1069,19,1407,556,521,371,1440,0,1397,90,630,269,770,666,285,1465,0.614609218127
2015-08-01 21:00:00,21,37,1.54166666667,230,1222,0,67,328,1672,264,1677,876,1856,1629,457,1986,1159,19,1497,646,521,371,1440,90,1487,90,630,269,770,666,285,1555,0.605481213053
2015-08-09 16:00:00,21,40,1.6,230,1312,69,67,329,1672,354,1767,897,1856,1629,457,2076,1249,19,1587,735,522,371,1440,180,1577,90,630,269,770,666,285,1644,0.597606503703
2015-08-15 21:00:00,21,43,1.65384615385,230,1402,145,67,330,1676,444,1857,911,1856,1629,457,2166,1339,19,1677,824,522,371,1440,270,1663,90,630,269,770,666,285,1734,0.591841006417
2015-08-23 15:00:00,21,46,1.7037037037,230,1476,235,67,338,1692,534,1947,911,1856,1629,457,2256,1429,19,1767,906,522,371,1440,360,1753,90,630,269,770,666,285,1824,0.587611840707
2015-08-28 23:00:00,21,46,1.64285714286,230,1533,325,67,338,1692,624,2037,925,1856,1629,457,2344,1519,19,1814,982,524,371,1440,450,1843,123,630,269,770,666,285,1914,0.5830471943
2015-09-12 22:30:00,21,47,1.62068965517,230,1621,370,67,338,1694,714,2127,941,1901,1629,457,2434,1609,19,1814,1056,524,371,1440,540,1933,213,630,269,770,666,285,2004,0.579397409463
2015-09-19 21:30:00,21,47,1.56666666667,243,1711,447,67,338,1694,804,2217,964,1924,1629,457,2524,1699,19,1904,1123,524,371,1440,630,2000,213,630,269,770,666,285,2094,0.578762615478
2015-09-27 21:30:00,21,50,1.61290322581,243,1792,536,67,338,1703,894,2307,965,1924,1629,457,2614,1789,19,1994,1212,524,371,1440,720,2090,214,630,269,770,666,285,2184,0.579145435834
2015-10-04 21:30:00,21,51,1.59375,243,1882,623,67,338,1703,984,2397,968,1924,1629,457,2692,1879,19,2084,1302,524,371,1440,810,2135,259,630,269,782,666,285,2274,0.577931652484
2015-10-18 19:00:00,21,51,1.54545454545,252,1882,713,67,338,1784,1074,2487,968,1924,1629,457,2772,1969,19,2174,1371,524,371,1440,900,2225,259,630,269,792,687,285,2364,0.578431587332
2015-10-25 19:00:00,21,51,1.5,252,1963,803,67,338,1784,1164,2577,977,1924,1629,457,2857,2059,19,2264,1450,524,371,1440,990,2315,259,630,269,797,698,285,2454,0.580114165905
