Date,MatchType,Points,PPG,Anatole Abang,Sean Davis,Chris Duvall,Mike Grella,Sacha Kljestan,Connor Lade,Kemar Lawrence,Felipe Martins,Dax McCarty,Matt Miazga,Roy Miller,Marius Obekop,Karl Ouimette,Damien Perrinelle,Dane Richards,Luis Robles,Lloyd Sam,Manolo Sanchez,Gonzalo Veron,Anthony Wallace,Bradley Wright-Phillips,Shaun Wright-Phillips,Sal Zizzo,Ronald Zubar,HHI
2015-03-08 19:00:00,21,1,1.0,6,0,90,68,90,0,0,84,90,13,90,0,0,90,0,90,90,0,0,0,90,0,22,77,0.932637485971
2015-03-22 17:00:00,21,4,2.0,7,0,180,68,180,0,90,174,180,103,90,0,0,180,25,180,180,0,0,0,179,0,87,77,0.848265993266
2015-03-28 19:30:00,21,7,2.33333333333,8,0,270,92,270,0,90,264,270,193,90,0,0,270,33,270,269,0,0,90,261,0,153,77,0.841977802719
2015-04-11 19:00:00,21,8,2.0,8,0,360,157,360,0,180,354,347,283,90,0,0,360,46,360,359,0,0,90,351,0,178,77,0.848301066218
2015-04-17 19:00:00,21,11,2.2,8,4,450,235,446,0,270,444,437,373,90,0,0,450,58,450,435,0,0,90,441,0,192,77,0.856528843996
2015-04-26 17:00:00,21,12,2.0,8,4,540,258,536,0,360,534,527,463,90,0,0,540,73,540,502,0,0,90,531,0,267,77,0.863045891009
2015-04-29 19:30:00,21,13,1.85714285714,11,4,630,321,626,0,360,624,600,553,180,0,0,630,90,630,589,0,0,90,621,0,294,77,0.857570260427
2015-05-02 19:30:00,21,13,1.625,18,65,630,411,716,83,450,714,690,643,180,0,90,630,153,720,616,0,0,90,650,0,294,77,0.802011433782
2015-05-10 19:00:00,21,16,1.77777777778,18,65,720,449,806,83,540,804,780,679,183,0,142,720,165,810,703,0,0,90,728,0,294,77,0.809068859659
2015-05-15 21:00:00,21,17,1.7,18,76,810,507,896,83,630,894,870,679,183,0,232,810,197,900,782,0,0,90,818,0,294,77,0.807479114995
2015-05-24 17:00:00,21,17,1.54545454545,27,76,900,597,986,143,660,984,937,679,264,0,322,810,220,990,872,0,0,90,908,0,294,77,0.791771181361
2015-05-31 17:00:00,21,17,1.41666666667,28,76,990,673,1076,143,750,1074,1027,679,264,0,412,900,234,1080,961,0,0,90,998,0,294,77,0.797555921708
2015-06-05 21:00:00,21,17,1.30769230769,44,76,1080,738,1166,143,840,1148,1117,679,354,4,502,900,259,1170,1047,0,0,90,1088,0,294,77,0.792585352404
2015-06-20 19:00:00,21,17,1.21428571429,89,76,1170,828,1177,143,840,1238,1207,701,444,4,502,990,259,1260,1047,13,0,90,1165,0,339,145,0.778867574054
2015-06-24 19:30:00,21,20,1.33333333333,179,166,1193,918,1177,210,927,1328,1297,791,444,4,502,1080,259,1350,1047,16,0,90,1232,0,362,145,0.760050322524
2015-06-28 16:30:00,21,23,1.4375,246,166,1283,1002,1267,210,1017,1418,1387,881,444,4,502,1125,259,1440,1047,22,0,90,1322,0,385,190,0.759079427753
2015-07-04 19:30:00,21,23,1.35294117647,313,221,1283,1092,1357,300,1107,1508,1387,971,444,4,502,1215,259,1530,1082,22,0,90,1412,0,408,190,0.749349639965
2015-07-11 19:00:00,21,26,1.44444444444,334,227,1283,1182,1437,390,1107,1598,1477,1061,444,4,502,1305,259,1620,1151,22,0,180,1496,0,418,190,0.744041332562
2015-07-18 19:30:00,21,29,1.52631578947,366,227,1283,1272,1518,480,1107,1688,1567,1151,444,4,511,1395,259,1710,1209,22,0,270,1566,0,438,190,0.739477842249
2015-08-01 19:00:00,21,32,1.6,379,227,1283,1349,1608,570,1107,1778,1657,1241,444,4,518,1485,259,1800,1270,22,0,360,1649,29,438,190,0.736938839839
2015-08-05 20:00:00,21,33,1.57142857143,381,227,1283,1416,1698,615,1197,1868,1747,1331,444,4,608,1485,259,1890,1358,22,0,360,1739,52,483,190,0.735635555616
2015-08-09 19:00:00,21,36,1.63636363636,381,241,1283,1502,1774,705,1287,1958,1837,1421,444,4,608,1575,259,1980,1424,22,4,360,1829,76,483,190,0.738194342711
2015-08-15 19:00:00,21,39,1.69565217391,381,244,1283,1582,1861,795,1287,2048,1927,1511,444,4,698,1575,259,2070,1504,22,14,450,1919,86,483,190,0.73494827192
2015-08-26 20:30:00,21,39,1.625,381,244,1283,1645,1951,885,1287,2124,2017,1601,444,4,698,1575,259,2160,1591,22,41,540,2009,100,486,280,0.72965602815
2015-08-30 19:00:00,21,42,1.68,381,260,1283,1735,2041,975,1370,2214,2091,1691,444,4,698,1665,259,2250,1681,22,57,540,2083,100,493,280,0.732855098157
2015-09-11 19:00:00,21,45,1.73076923077,381,260,1283,1802,2131,1065,1460,2304,2181,1781,444,4,698,1755,259,2340,1758,22,80,540,2168,113,493,285,0.736168252908
2015-09-16 19:30:00,21,45,1.66666666667,381,260,1283,1892,2221,1155,1550,2373,2271,1871,444,4,698,1800,259,2430,1837,22,91,540,2258,134,493,330,0.737637601507
2015-09-20 17:00:00,21,48,1.71428571429,381,350,1283,1915,2311,1155,1640,2463,2271,1961,444,4,698,1890,259,2520,1865,22,153,540,2348,201,578,335,0.729661327263
2015-09-25 19:00:00,21,48,1.65517241379,392,350,1283,1994,2401,1245,1730,2517,2361,2038,444,4,698,1960,259,2610,1955,22,189,540,2438,221,578,335,0.731574698639
