Date,MatchType,Points,PPG,Jordan Allen,Jeff Attinella,Kyle Beckerman,Tony Beltran,Olmes Garcia,Luis Gil,Justen Glad,Sebastian Jaime,Phanuel Kavita,Abdoulie Mansally,Juan Manuel Martinez,Aaron Maund,Javier Morales,Luke Mulholland,Boyd Okwuonu,Jamison Olave,Wellington Paeckart,Demar Phillips,Joao Plata,Nick Rimando,Alvaro Saborio,Devon Sandoval,Sebastian Saucedo,Chris Schuler,Luis Silva,John Stertzer,Elías Vásquez,HHI
2015-03-07 22:30:00,21,1,1.0,8,0,90,90,82,88,0,64,0,90,0,0,90,26,0,90,0,0,0,90,90,2,0,90,0,0,0,0.943973063973
2015-03-14 21:30:00,21,2,1.0,33,0,180,180,172,158,0,129,0,98,0,0,180,46,0,180,0,82,0,180,180,2,0,180,0,0,0,0.890925925926
2015-03-29 19:00:00,21,5,1.66666666667,49,90,270,270,261,158,0,203,0,188,0,0,270,125,0,270,0,82,0,180,180,92,1,270,0,11,0,0.798570894126
2015-04-05 17:00:00,21,8,2.0,125,90,360,360,348,172,0,203,0,278,0,0,360,215,0,360,0,82,0,270,248,114,1,360,0,14,0,0.800681818182
2015-04-11 20:30:00,21,9,1.8,150,90,450,450,436,237,0,203,0,368,0,0,450,304,0,450,0,84,0,360,338,114,1,360,0,15,90,0.789107070707
2015-04-18 21:30:00,21,9,1.5,214,90,540,533,526,327,0,203,0,368,0,0,450,392,0,539,0,174,0,450,428,116,13,360,0,22,180,0.760970556713
2015-04-25 19:30:00,21,9,1.28571428571,214,180,630,623,616,417,0,203,0,377,0,90,450,473,0,539,34,264,0,450,486,148,13,360,0,78,270,0.705072136662
2015-05-01 22:00:00,21,10,1.25,263,180,720,713,679,507,0,203,0,467,0,90,491,555,0,629,34,264,0,540,576,175,21,360,0,78,360,0.71277573942
2015-05-06 21:30:00,21,11,1.22222222222,353,180,810,803,693,597,0,203,0,467,0,90,491,641,0,719,34,354,0,630,666,251,25,360,0,78,450,0.708989614328
2015-05-09 15:00:00,21,14,1.4,418,180,900,893,694,687,0,203,0,475,0,90,491,731,0,809,34,444,0,720,748,340,25,360,0,103,540,0.708910334297
2015-05-16 16:00:00,21,14,1.27272727273,508,180,985,983,709,777,0,203,0,475,0,90,491,792,0,899,34,534,0,810,838,415,54,360,0,108,630,0.710866906593
2015-05-23 22:00:00,21,17,1.41666666667,508,180,1075,1073,709,867,0,203,0,487,0,90,519,882,0,989,34,612,1,900,927,505,54,360,0,170,720,0.714449787955
2015-05-27 22:30:00,21,17,1.30769230769,508,180,1165,1163,799,921,0,203,0,577,0,180,555,972,0,1078,88,612,37,990,997,525,54,360,0,170,720,0.707136901466
2015-05-30 18:00:00,21,17,1.21428571429,508,180,1255,1163,819,930,90,287,0,667,0,270,645,972,0,1078,88,612,107,1080,1003,615,54,360,0,251,810,0.670415811351
2015-06-07 17:00:00,21,18,1.2,508,180,1255,1253,846,930,90,350,0,757,0,354,735,1062,0,1084,88,612,197,1170,1083,625,54,360,0,341,900,0.654884037885
2015-06-21 22:00:00,21,21,1.3125,529,180,1345,1343,853,950,180,419,0,757,0,444,825,1132,0,1084,88,702,280,1260,1083,715,54,360,0,341,900,0.640486141605
2015-06-24 19:30:00,21,21,1.23529411765,560,180,1345,1433,858,970,265,489,0,757,0,534,865,1222,0,1084,88,757,339,1350,1083,805,54,360,0,431,900,0.626414775837
2015-06-27 22:00:00,21,22,1.22222222222,570,180,1435,1523,948,1060,265,556,90,824,0,624,865,1312,10,1084,88,757,419,1440,1083,828,54,360,0,431,900,0.620191672131
2015-07-04 22:00:00,21,23,1.21052631579,570,270,1435,1604,1038,1150,265,629,90,862,0,714,955,1402,10,1084,88,809,509,1440,1083,845,63,360,0,431,990,0.610220953676
2015-07-11 21:00:00,21,23,1.15,598,360,1435,1694,1100,1165,265,713,90,862,0,804,1045,1477,100,1084,88,809,597,1440,1083,847,63,450,0,521,990,0.592417077715
2015-07-18 22:00:00,21,26,1.2380952381,682,450,1435,1784,1172,1183,355,713,90,952,0,894,1135,1565,100,1084,90,809,687,1440,1083,937,63,450,0,527,990,0.583829856554
2015-07-24 23:00:00,21,29,1.31818181818,682,540,1435,1874,1201,1270,355,803,90,1042,0,984,1225,1655,100,1084,90,809,776,1440,1083,998,64,450,0,530,1080,0.581515497204
2015-08-01 19:00:00,21,29,1.26086956522,682,630,1525,1964,1236,1291,445,858,90,1132,0,1074,1315,1724,100,1084,90,809,866,1440,1083,1080,64,450,8,530,1080,0.578543619432
2015-08-08 22:00:00,21,29,1.20833333333,682,720,1525,1964,1326,1381,517,858,180,1220,0,1074,1315,1724,118,1084,111,809,866,1440,1083,1170,154,450,77,620,1170,0.559446267835
2015-08-15 22:00:00,21,29,1.16,682,720,1615,2054,1402,1381,517,948,180,1220,0,1164,1405,1814,118,1170,111,899,866,1530,1083,1171,168,450,166,620,1174,0.559468810139
2015-08-22 22:00:00,21,32,1.23076923077,689,720,1705,2144,1422,1381,517,1035,180,1220,0,1254,1495,1904,118,1260,111,989,936,1620,1083,1174,168,450,249,620,1174,0.560109112498
2015-08-29 21:00:00,21,32,1.18518518519,697,720,1795,2234,1451,1381,517,1096,180,1220,25,1344,1585,1969,118,1350,111,1071,1026,1710,1083,1174,168,450,339,620,1174,0.56006440831
2015-09-12 20:30:00,21,35,1.25,787,720,1885,2234,1454,1381,517,1096,180,1220,115,1434,1675,1969,118,1440,111,1161,1113,1800,1083,1264,168,450,366,683,1174,0.553878977662
2015-09-19 21:30:00,21,38,1.31034482759,877,720,1975,2324,1461,1381,517,1098,180,1220,198,1524,1764,2059,118,1530,111,1161,1203,1890,1083,1352,168,450,366,684,1174,0.555649640447
2015-09-27 19:00:00,21,38,1.26666666667,932,720,2065,2414,1492,1381,517,1104,180,1220,288,1614,1764,2149,118,1620,111,1196,1293,1980,1083,1436,168,450,425,684,1174,0.555777304791
2015-10-04 19:00:00,21,41,1.32258064516,932,720,2155,2504,1493,1381,517,1170,180,1220,377,1704,1854,2239,118,1710,111,1286,1382,2070,1083,1460,168,450,426,684,1174,0.558618456962
2015-10-14 21:30:00,21,41,1.28125,1007,720,2245,2594,1508,1381,551,1226,180,1220,467,1794,1944,2329,118,1762,111,1286,1431,2160,1083,1460,168,450,467,684,1174,0.559653259795
2015-10-17 21:30:00,21,41,1.24242424242,1034,810,2335,2684,1520,1385,551,1226,180,1220,557,1884,2034,2329,118,1762,111,1376,1431,2160,1083,1538,168,450,530,770,1264,0.555117669116
2015-10-25 19:00:00,21,41,1.20588235294,1083,900,2335,2774,1542,1475,551,1267,180,1310,647,1974,2124,2329,118,1852,111,1376,1431,2160,1083,1606,168,450,530,860,1264,0.551404608599
