Date,MatchType,Points,PPG, Alex,Giles Barnes,DaMarcus Beasley,Will Bruin,Ricardo Clark,A.J. Cochran,Brad Davis,Tyler Deric,Oscar Boniek Garcia,Luis Garrido,Chandler Hoffman,David Horst,Taylor Hunter,Alexander Lopez,Rob Lovejoy,Mauro Manotas,Leonel Miranda,Rasheed Olabiyi,Raul Rodriguez,Kofi Sarkodie,Zach Steinberger,Nathan Sturgis,Jermaine Taylor,Erick Torres,Sheanon Williams,Joe Willis,HHI
2015-03-07 20:30:00,21,3,3.0,0,89,90,57,90,0,90,90,90,90,1,1,0,0,0,0,33,0,89,90,0,0,90,0,0,0,0.953782267116
2015-03-13 19:00:00,21,3,1.5,0,179,180,94,180,0,180,180,173,180,1,91,0,0,7,0,86,0,89,180,0,0,180,0,0,0,0.901386083053
2015-03-21 22:30:00,21,4,1.33333333333,0,269,235,105,222,35,270,270,263,270,1,181,0,0,55,0,86,0,89,270,0,79,270,0,0,0,0.848153136301
2015-03-28 20:30:00,21,5,1.25,0,269,325,195,291,35,360,360,263,270,8,271,0,31,114,0,169,0,179,360,21,169,270,0,0,0,0.75950617284
2015-04-04 22:00:00,21,5,1.0,0,359,415,221,381,35,450,450,335,334,8,335,0,31,114,0,187,0,205,450,21,259,360,0,0,0,0.775746801347
2015-04-11 20:30:00,21,8,1.33333333333,0,448,505,221,471,35,540,540,388,398,9,425,0,68,140,0,187,0,205,540,21,349,450,0,0,0,0.785026187804
2015-04-18 19:00:00,21,9,1.28571428571,0,538,595,265,561,35,630,630,388,443,10,425,0,148,150,0,187,0,295,630,21,439,540,0,0,0,0.778537758538
2015-04-25 20:30:00,21,10,1.25,0,628,685,335,651,35,720,720,388,449,30,436,0,227,150,0,187,0,385,720,21,523,617,0,0,0,0.776094198894
2015-05-01 20:00:00,21,10,1.11111111111,0,718,775,402,741,35,810,810,423,478,30,436,0,282,173,0,187,0,475,810,21,584,707,0,0,0,0.779060292995
2015-05-05 20:30:00,21,10,1.0,0,808,865,427,831,35,900,900,497,568,30,443,0,347,189,0,187,0,565,893,21,584,797,0,0,0,0.781677243332
2015-05-10 17:00:00,21,13,1.18181818182,0,898,955,517,913,35,900,990,580,658,30,533,0,421,205,0,195,0,655,893,28,584,887,0,0,0,0.769600197124
2015-05-16 20:30:00,21,16,1.33333333333,0,988,1045,606,1003,35,990,1080,654,748,30,623,0,437,206,0,195,0,745,893,28,584,977,0,0,0,0.772176381825
2015-05-22 22:30:00,21,16,1.23076923077,0,1078,1135,694,1093,35,1080,1170,720,802,30,713,0,461,208,0,195,0,835,893,28,620,1067,0,0,0,0.774989359051
2015-05-30 19:00:00,21,17,1.21428571429,0,1168,1225,784,1183,35,1080,1260,798,892,30,803,0,551,220,0,195,0,925,893,28,620,1157,0,0,0,0.773302785136
2015-06-05 21:00:00,21,20,1.33333333333,0,1258,1315,874,1273,35,1146,1350,843,982,30,893,0,596,244,0,195,0,1015,893,28,620,1247,0,0,0,0.775878409371
2015-06-20 22:30:00,21,20,1.25,15,1258,1405,964,1363,35,1146,1440,843,1072,30,983,0,678,276,8,270,0,1105,983,28,678,1247,0,0,0,0.762801828223
2015-06-26 21:00:00,21,20,1.17647058824,21,1348,1495,1044,1453,35,1207,1530,843,1162,30,1073,0,762,305,18,270,0,1195,983,28,678,1337,0,0,0,0.764486640074
2015-07-03 21:00:00,21,21,1.16666666667,58,1438,1585,1122,1543,35,1284,1530,843,1252,30,1163,0,815,305,30,283,0,1285,983,28,678,1427,0,0,90,0.756469699797
2015-07-10 23:00:00,21,24,1.26315789474,128,1438,1675,1211,1633,35,1374,1620,843,1252,30,1253,0,894,305,31,303,11,1375,1073,28,768,1427,0,0,90,0.748669936144
2015-07-18 22:00:00,21,24,1.2,173,1438,1675,1301,1723,72,1464,1710,843,1297,30,1343,90,947,305,31,348,11,1465,1124,28,813,1427,0,0,90,0.73535622676
2015-07-25 21:00:00,21,27,1.28571428571,260,1438,1675,1370,1812,162,1554,1800,843,1297,30,1433,90,947,305,31,438,14,1555,1124,29,903,1427,21,90,90,0.715436714672
2015-08-01 20:30:00,21,28,1.27272727273,328,1528,1765,1432,1892,162,1644,1890,843,1307,30,1523,90,947,305,31,460,14,1645,1124,29,989,1427,49,180,90,0.710128084168
2015-08-08 21:00:00,21,31,1.34782608696,413,1618,1855,1510,1892,162,1734,1890,877,1397,30,1613,90,947,305,31,516,19,1735,1124,29,989,1427,61,270,180,0.69679274963
2015-08-15 19:30:00,21,31,1.29166666667,503,1708,1900,1566,1892,252,1824,1980,891,1487,30,1703,90,947,305,31,516,19,1735,1169,29,1065,1427,95,360,180,0.685475213965
2015-08-21 23:00:00,21,32,1.28,593,1708,1900,1638,1892,252,1913,2070,981,1577,30,1793,90,947,305,31,517,80,1825,1259,29,1094,1427,113,450,180,0.676180520192
2015-08-26 21:00:00,21,32,1.23076923077,683,1786,1900,1708,1892,342,2003,2160,1042,1667,30,1883,90,947,305,51,546,80,1825,1259,29,1184,1427,125,540,180,0.666476003039
