Date,MatchType,Points,PPG,Fanendo Adi,Dairon Asprilla,Nat Borchers,Diego Chara,Gaston Fernandez,George Fochive,Jack Jewsbury,Will Johnson,Adam Kwarasey,Lucas Melano,Darlington Nagbe,Michael Nanchoff,Norberto Paparatto,Taylor Peay,Jeanderson Pereira,Alvas Powell,Liam Ridgewell,Maximiliano Urruti,Diego Valeri,Jorge Villafana,Rodney Wallace,Andrew Weber,Ishmael Yartey,HHI
2015-03-07 22:30:00,21,1,1.0,82,62,90,0,28,86,90,0,90,0,90,4,0,0,0,90,90,8,0,90,90,0,0,0.938585858586
2015-03-15 19:00:00,21,2,1.0,172,118,180,90,62,86,180,0,180,0,180,4,0,0,0,180,180,16,0,180,172,0,0,0.896475869809
2015-03-21 20:30:00,21,3,1.0,247,194,270,180,76,86,270,0,270,0,270,4,0,0,1,270,270,31,0,270,261,0,0,0.902376854969
2015-03-28 20:00:00,21,3,0.75,337,219,360,270,91,161,270,0,360,0,360,4,0,0,1,360,360,96,0,360,351,0,0,0.877922278339
2015-04-04 22:30:00,21,6,1.2,427,248,450,360,92,250,279,0,450,0,450,4,0,0,1,450,450,177,0,450,412,0,0,0.870180920314
2015-04-12 17:00:00,21,6,1.0,517,283,540,450,101,295,324,0,540,0,540,4,0,0,1,540,540,267,0,531,467,0,0,0.867139294176
2015-04-19 19:00:00,21,9,1.28571428571,601,372,630,540,117,295,414,0,630,0,630,4,0,0,2,630,630,273,0,621,467,0,74,0.854703497561
2015-04-26 21:30:00,21,9,1.125,617,434,720,630,145,295,504,0,720,0,720,4,0,0,2,720,720,347,0,711,467,0,164,0.840163089226
2015-05-02 22:30:00,21,10,1.11111111111,641,434,810,720,157,295,594,0,810,0,810,4,0,0,2,810,810,413,38,801,545,0,216,0.834124786964
2015-05-09 16:00:00,21,13,1.3,728,452,900,810,157,295,684,0,900,0,900,4,0,0,2,900,900,416,110,891,626,0,225,0.835182491582
2015-05-16 20:30:00,21,13,1.18181818182,818,466,990,900,162,295,774,0,990,0,976,4,0,0,2,985,990,422,194,981,716,0,225,0.836010054633
2015-05-23 17:00:00,21,13,1.08333333333,908,496,1080,990,227,295,864,0,1080,0,1066,4,0,0,2,1075,1080,432,219,1061,776,0,225,0.837069615912
2015-05-27 22:30:00,21,16,1.23076923077,923,586,1080,1080,287,295,870,84,1170,0,1156,4,90,0,2,1165,1170,507,219,1151,806,0,225,0.812266517908
2015-05-30 21:00:00,21,19,1.35714285714,941,676,1170,1080,359,385,960,84,1260,0,1213,4,90,0,2,1255,1260,595,219,1241,839,0,227,0.802283034426
2015-06-06 22:30:00,21,22,1.46666666667,964,743,1260,1170,422,385,961,174,1350,0,1303,4,90,0,2,1345,1350,684,219,1331,866,0,227,0.796446838758
2015-06-20 22:30:00,21,25,1.5625,978,743,1260,1260,494,385,961,264,1440,0,1389,4,180,4,2,1435,1440,760,237,1421,956,0,227,0.782822495791
2015-06-24 23:00:00,21,25,1.47058823529,998,743,1350,1350,524,385,1051,264,1530,0,1449,19,180,4,2,1525,1518,850,307,1511,1031,0,227,0.782000972377
2015-06-28 19:00:00,21,28,1.55555555556,1088,743,1440,1440,606,385,1061,354,1620,0,1529,19,270,4,2,1615,1518,858,373,1601,1055,0,227,0.770064847391
2015-07-05 23:00:00,21,31,1.63157894737,1167,816,1440,1440,612,385,1151,444,1710,0,1613,19,360,4,2,1705,1608,869,463,1691,1072,0,227,0.759490053797
2015-07-11 19:00:00,21,31,1.55,1257,833,1530,1440,702,385,1234,534,1710,0,1613,26,360,94,92,1705,1698,869,553,1691,1145,90,227,0.727372923353
2015-07-18 22:30:00,21,32,1.52380952381,1333,900,1620,1530,709,385,1234,623,1800,0,1696,26,360,94,92,1795,1788,883,643,1781,1168,90,227,0.728414813615
2015-07-25 21:00:00,21,32,1.45454545455,1351,900,1710,1620,721,385,1324,623,1890,18,1774,26,360,94,92,1885,1878,955,733,1871,1240,90,227,0.731021480987
2015-08-02 17:00:00,21,33,1.4347826087,1417,900,1800,1710,721,385,1324,713,1980,42,1864,26,360,139,92,1930,1968,965,823,1961,1320,90,227,0.728973650859
2015-08-07 23:00:00,21,36,1.5,1503,904,1890,1800,721,385,1325,803,2070,64,1954,26,360,139,92,2020,2058,965,912,2051,1388,90,227,0.731360030532
2015-08-15 22:00:00,21,39,1.56,1503,912,1980,1890,721,385,1329,889,2160,129,2036,26,360,139,92,2110,2148,990,1002,2141,1478,90,227,0.731121712907
2015-08-21 23:00:00,21,40,1.53846153846,1536,920,2070,1979,721,385,1329,979,2250,219,2126,26,360,139,92,2200,2238,990,1092,2223,1535,90,227,0.730759939474
2015-08-30 16:30:00,21,40,1.48148148148,1626,932,2160,1979,721,463,1419,979,2340,302,2216,26,360,139,92,2290,2328,997,1182,2306,1542,90,227,0.728141802017
2015-09-09 22:30:00,21,41,1.46428571429,1699,949,2250,1979,721,546,1509,979,2430,385,2306,26,450,229,92,2290,2328,1004,1272,2396,1549,90,227,0.715695514142
2015-09-20 17:00:00,21,41,1.41379310345,1733,963,2340,2069,721,546,1509,1045,2520,475,2396,26,450,229,92,2366,2418,1060,1362,2486,1573,90,227,0.715902416856
2015-09-26 19:30:00,21,44,1.46666666667,1808,972,2430,2159,721,549,1599,1045,2610,490,2486,26,450,229,92,2456,2508,1060,1449,2576,1654,90,227,0.72050321992
2015-10-03 22:30:00,21,44,1.41935483871,1898,982,2520,2249,721,549,1679,1045,2700,518,2576,26,450,229,92,2546,2598,1067,1539,2659,1716,90,227,0.724501333544
