Date,MatchType,Points,PPG,Osvaldo Alonso,Micheal Azira,Chad Barrett,Andy Craven,Clint Dempsey,Brad Evans,Oniel Fisher,Stefan Frei,Erik Friberg,Leo Gonzalez,Andreas Ivanschitz,Darwin Jones,Aaron Kovar,Victor Mansaray,Chad Marshall,Obafemi Martins,Tyrone Mears,Lamar Neagle,Jimmy Ockford,Marco Pappa,Troy Perkins,Gonzalo Pineda,Dylan Remick,Cristian Roldan,Andy Rose,Zach Scott, Thomas,Román Torres,Nelson Valdez,HHI
2015-03-08 21:30:00,21,3,3.0,0,90,0,0,90,90,0,90,0,90,0,0,1,0,90,90,90,83,0,89,0,89,0,1,7,0,0,0,0,0.982962962963
2015-03-14 22:00:00,21,3,1.5,0,157,18,0,180,180,0,180,0,180,0,0,1,0,180,180,170,155,0,179,0,179,0,11,30,0,0,0,0,0.946694725028
2015-03-28 20:30:00,21,4,1.33333333333,0,243,93,0,180,270,4,270,0,270,0,0,30,15,180,180,260,245,0,179,0,269,0,72,120,90,0,0,0,0.803653822172
2015-04-04 22:00:00,21,7,1.75,73,273,93,0,267,360,4,360,0,273,0,0,30,15,270,270,350,305,0,179,0,325,90,72,210,107,0,0,0,0.758257903668
2015-04-12 19:00:00,21,7,1.4,163,273,109,0,267,450,4,450,0,273,0,0,39,16,360,360,440,379,0,268,0,325,180,153,300,107,0,0,0,0.726779380989
2015-04-18 21:00:00,21,10,1.66666666667,253,273,109,0,337,540,4,540,0,274,0,0,39,16,450,450,530,469,0,349,0,345,270,162,389,107,0,0,0,0.73562565989
2015-04-26 21:30:00,21,13,1.85714285714,343,273,109,0,427,630,4,630,0,278,0,0,39,16,450,540,620,546,0,435,0,435,360,162,402,197,0,0,0,0.733395078219
2015-05-03 19:00:00,21,16,2.0,433,273,109,0,517,720,4,720,0,278,0,0,39,16,540,630,710,569,0,502,0,524,450,163,492,197,0,0,0,0.744656305434
2015-05-09 19:30:00,21,16,1.77777777778,523,273,129,0,607,810,4,810,0,278,0,0,39,16,630,720,800,597,0,564,0,614,540,163,562,197,0,0,0,0.754531362048
2015-05-16 19:00:00,21,19,1.9,613,273,201,0,697,900,4,900,0,279,0,5,39,16,720,720,890,682,0,653,0,704,630,163,580,197,0,0,0,0.75612676724
