Date,MatchType,Points,PPG,Sam Adekugbe,Steven Beitashour,Marco Bustos,Christian Dean,Robert Earnshaw,Deybi Flores,Kianz Froese,Jordan Harvey,Erik Hurtado,Pa-Modou Kah,Gershon Koffie,Matias Laba,Kekuta Manneh,Darren Mattocks,Nicolas Mezquida,Pedro Morales,David Ousted,Tim Parker,Octavio Rivero,Diego Rodriguez,Mauro Rosales,Ethen Sampson,Jordan Smith,Cristian Techera,Russell Teibert,Kendall Waston,HHI
2015-03-07 18:00:00,21,0,0.0,0,90,0,0,0,0,0,90,7,90,26,83,90,25,0,90,90,0,90,0,65,0,0,0,64,90,0.913131313131
2015-03-14 18:00:00,21,3,1.5,90,180,0,0,0,0,0,90,7,180,28,173,172,33,45,178,180,0,180,0,110,0,0,0,154,180,0.867452300786
2015-03-21 19:30:00,21,6,2.0,166,270,0,0,0,0,24,104,31,180,118,263,238,33,111,268,270,0,270,90,110,0,0,0,154,270,0.78912083801
2015-03-28 20:00:00,21,9,2.25,256,360,0,0,3,18,56,104,118,270,190,353,238,33,169,358,360,0,360,90,110,0,0,0,154,360,0.774500561167
2015-04-04 22:00:00,21,12,2.4,346,450,0,0,3,26,56,104,122,360,190,443,316,45,251,448,450,0,446,90,110,0,0,0,244,450,0.791436139169
2015-04-08 22:00:00,21,13,2.16666666667,436,540,0,0,4,26,56,104,122,435,190,533,349,134,308,538,540,0,536,105,110,0,0,0,334,540,0.794949494949
2015-04-11 22:30:00,21,13,1.85714285714,436,630,0,0,4,94,66,194,140,525,190,613,439,206,308,626,630,0,626,105,110,0,0,0,356,630,0.779755078965
2015-04-18 21:30:00,21,16,2.0,526,720,0,0,4,94,66,194,141,615,280,703,439,295,379,626,720,0,716,105,129,0,0,0,446,720,0.773387183266
2015-04-25 22:30:00,21,16,1.77777777778,616,810,0,0,4,94,66,194,141,705,325,745,459,340,379,716,810,0,806,105,205,0,0,14,516,810,0.774610214574
2015-05-02 22:30:00,21,17,1.7,616,810,0,0,4,94,66,284,141,795,415,745,491,398,391,806,900,2,896,105,283,88,0,14,606,900,0.748244664897
2015-05-09 19:00:00,21,20,1.81818181818,616,810,0,0,7,94,66,374,141,885,415,835,581,419,391,893,990,92,965,105,295,88,0,92,696,990,0.732353896325
2015-05-16 19:00:00,21,20,1.66666666667,616,900,0,0,7,94,80,464,141,975,441,925,657,448,391,983,1080,92,1055,105,295,88,0,153,760,1080,0.735167650478
2015-05-23 21:00:00,21,20,1.53846153846,616,990,0,0,7,94,142,554,141,1065,531,1002,727,468,391,996,1170,92,1145,105,385,88,0,181,760,1170,0.727032559305
