Date,MatchType,Points,PPG,Eric Alexander,Kyle Bekker,Patrice Bernier,Evan Bush,Victor Cabrera,Hassoun Camara,Laurent Ciman,Kenny Cooper,Marco Donadel,Didier Drogba,Dilly Duka,Jeremy Gagnon-Lapare,Anthony Jackson-Hamel,Eric Kronberg,Wandrille Lefevre,Calum Mallace,Justin Mapp,Jack McInerney,Eric Miller,Dominic Oduro,Ambroise Oyongo,Ignacio Piatti,Cameron Porter,Nigel Reo-Coker,Andres Romero,Bakary Soumare,Maxim Tissot,Donny Toia,Johan Venegas,Romario Williams,HHI
2015-03-07 15:00:00,21,0,0.0,14,0,0,90,0,90,90,0,0,0,90,0,0,0,0,90,86,71,0,4,0,76,19,90,0,90,0,90,0,0,0.938114478114
2015-03-21 15:00:00,21,1,0.5,98,0,0,180,90,151,180,0,0,0,90,6,0,0,0,180,86,141,0,60,0,76,39,180,34,90,90,180,0,0,0.769199304014
2015-03-28 16:00:00,21,2,0.666666666667,188,0,14,180,180,151,180,0,69,0,90,6,0,90,90,180,86,225,0,150,0,166,39,256,55,180,90,270,0,6,0.646855343112
2015-04-11 20:30:00,21,2,0.5,278,0,81,270,262,159,270,0,69,0,157,6,0,90,90,180,86,315,0,173,0,256,39,279,145,270,90,360,0,6,0.651144154757
2015-05-09 16:00:00,21,2,0.4,307,0,81,360,262,159,360,4,159,0,226,6,0,90,90,241,86,401,90,194,0,346,39,369,235,360,90,360,0,6,0.635263210339
2015-05-16 16:00:00,21,5,0.833333333333,330,0,95,450,262,159,450,4,235,0,316,6,0,90,90,331,86,428,180,257,0,436,39,459,302,450,90,360,0,6,0.636109652337
2015-05-23 20:00:00,21,8,1.14285714286,352,0,102,540,262,159,540,4,303,0,406,6,0,90,90,421,86,518,216,257,90,526,39,459,385,540,90,414,0,6,0.638958679506
2015-05-30 20:30:00,21,8,1.0,397,0,116,630,262,159,630,4,340,0,496,6,30,90,90,497,86,563,216,257,180,586,39,549,385,630,90,504,0,6,0.645958172774
2015-06-03 20:00:00,21,11,1.22222222222,460,0,197,720,262,159,720,4,340,0,496,6,39,90,180,587,86,641,216,257,270,676,39,561,475,630,117,594,0,6,0.634532065149
2015-06-06 19:30:00,21,14,1.4,528,0,207,810,270,159,810,4,420,0,496,6,39,90,270,609,86,731,216,257,270,766,39,651,565,630,199,684,0,6,0.63573374798
2015-06-13 19:00:00,21,14,1.27272727273,618,0,227,900,315,159,900,4,420,0,496,18,84,90,360,679,86,821,216,257,270,844,39,741,655,630,199,774,0,6,0.640446843252
2015-06-20 20:00:00,21,17,1.41666666667,618,0,245,990,315,159,990,4,492,0,496,18,84,90,360,688,86,888,216,280,360,925,39,831,745,720,289,864,0,6,0.642881768514
2015-06-24 20:00:00,21,17,1.30769230769,618,0,258,1080,315,159,1080,4,582,0,529,18,84,90,360,688,86,978,216,302,450,1002,39,921,813,810,346,954,0,6,0.648952800605
2015-06-27 19:00:00,21,18,1.28571428571,618,0,325,1170,405,159,1170,4,603,0,598,18,84,90,360,778,86,1008,216,362,540,1092,39,925,899,810,346,1044,0,6,0.645500321683
2015-07-04 20:00:00,21,18,1.2,618,0,325,1260,495,159,1260,4,693,0,681,18,91,90,360,841,86,1098,218,389,630,1182,39,925,989,810,346,1132,0,6,0.649080572973
2015-07-11 20:00:00,21,21,1.3125,618,0,325,1350,560,159,1350,4,783,0,762,18,91,90,360,931,86,1169,237,479,720,1272,39,934,989,835,346,1222,0,6,0.650272057388
2015-07-18 20:30:00,21,21,1.23529411765,618,0,325,1440,650,159,1440,4,873,0,846,18,107,90,360,999,86,1169,237,553,810,1362,39,956,1079,835,352,1312,0,6,0.651884005979
2015-07-25 20:00:00,21,24,1.33333333333,618,0,327,1530,740,159,1530,4,963,0,917,18,107,90,360,1087,86,1188,237,643,900,1452,39,956,1157,835,364,1402,0,6,0.655432942753
2015-08-01 14:00:00,21,27,1.42105263158,629,0,327,1620,830,159,1620,4,1053,0,996,18,107,90,360,1156,86,1188,237,733,990,1542,39,977,1243,835,368,1492,0,6,0.659669553895
2015-08-05 20:00:00,21,28,1.4,686,0,340,1710,920,159,1699,4,1053,0,1086,18,107,90,360,1233,86,1188,237,823,1080,1632,39,1010,1305,835,368,1582,28,6,0.660620908299
2015-08-08 20:00:00,21,28,1.33333333333,744,0,340,1800,1010,159,1699,4,1143,0,1118,18,115,90,450,1233,86,1188,327,913,1170,1722,39,1010,1387,835,368,1582,118,6,0.646751888091
2015-08-22 20:00:00,21,28,1.27272727273,744,0,340,1890,1010,159,1789,4,1233,31,1177,18,124,90,540,1314,107,1188,327,1003,1260,1722,39,1010,1456,835,368,1672,208,6,0.640727167159
2015-08-29 16:00:00,21,28,1.21739130435,744,0,340,1890,1100,159,1866,4,1323,31,1177,18,156,180,540,1404,139,1188,337,1093,1350,1722,39,1010,1536,835,426,1762,266,6,0.630383094556
2015-09-05 20:00:00,21,31,1.29166666667,759,0,340,1980,1100,159,1866,4,1413,121,1197,18,156,180,630,1494,226,1188,337,1096,1350,1792,39,1100,1611,835,516,1852,266,6,0.621310342981
2015-09-12 22:30:00,21,32,1.28,759,0,340,2070,1190,159,1866,4,1503,211,1213,18,156,180,720,1584,264,1188,337,1148,1350,1874,39,1190,1685,835,516,1942,274,6,0.618289974771
2015-09-16 22:30:00,21,33,1.26923076923,812,90,340,2070,1190,249,1866,4,1503,211,1303,18,156,270,810,1610,264,1188,427,1238,1399,1874,39,1254,1702,835,516,1979,347,6,0.597446738416
2015-09-19 20:00:00,21,36,1.33333333333,812,103,340,2160,1280,249,1956,4,1575,301,1322,18,156,270,810,1664,264,1188,517,1238,1399,1951,39,1290,1773,835,516,2069,437,6,0.595032810716
2015-09-23 20:00:00,21,39,1.39285714286,812,165,368,2250,1370,251,2045,4,1575,391,1412,18,156,270,810,1664,264,1188,517,1326,1489,1951,39,1380,1791,835,516,2159,509,6,0.59043316766
2015-09-26 17:00:00,21,42,1.44827586207,818,165,452,2340,1370,341,2045,4,1665,480,1502,18,156,270,900,1664,264,1188,517,1385,1579,1951,39,1470,1791,835,516,2249,540,7,0.583314735635
2015-10-03 19:30:00,21,42,1.4,822,165,538,2430,1460,341,2135,4,1755,511,1523,18,156,270,900,1664,264,1188,517,1444,1669,1951,39,1560,1860,835,516,2339,630,7,0.583433882005
2015-10-07 19:30:00,21,42,1.35483870968,877,165,563,2520,1550,386,2225,4,1820,601,1613,18,156,270,900,1699,264,1188,517,1534,1684,1951,39,1605,1860,835,516,2429,630,7,0.583147956525
2015-10-10 18:00:00,21,45,1.40625,878,165,653,2610,1550,476,2315,4,1820,690,1688,18,156,270,900,1789,264,1188,517,1559,1684,2041,39,1695,1875,835,581,2519,630,7,0.580874885605
2015-10-17 19:30:00,21,48,1.45454545455,878,165,661,2700,1640,476,2315,4,1910,780,1744,18,156,270,990,1808,264,1188,517,1593,1774,2123,39,1785,1875,835,581,2609,701,7,0.58052576654
2015-10-25 17:00:00,21,51,1.5,878,165,673,2790,1730,478,2405,4,2000,870,1789,18,156,270,990,1808,264,1188,517,1671,1864,2213,39,1873,1875,835,581,2699,746,7,0.583469973683
