Date,MatchType,Points,PPG,Josmer Altidore,Joe Bendik,Michael Bradley,Steven Caldwell,Jay Chapman,Benoit Cheyrou,Warren Creavalle,Marco Delgado,Bright Dike,Robbie Findley,Sebastian Giovinco,Herculez Gomez,Jackson Goncalves,Nick Hagglund,Jordan Hamilton,Ahmed Kantari,Chris Konopka,Daniel Lovitz,Luke Moore,Ashtone Morgan,Justin Morrow,Jonathan Osorio,Damien Perquis,Clement Simonin,Collen Warner,Josh Williams,Eriq Zavaleta,HHI
2015-03-07 18:00:00,21,3,3.0,90,90,90,90,0,90,90,0,0,77,80,0,0,0,0,0,0,0,10,0,90,90,90,0,13,0,0,0.959573512907
2015-03-14 19:30:00,21,3,1.5,180,180,180,135,0,180,180,0,0,167,166,0,0,45,0,0,0,0,10,45,135,135,180,0,17,0,0,0.907677556771
2015-03-29 19:00:00,21,3,1.0,180,270,180,135,0,270,247,0,11,257,256,0,23,135,0,0,0,13,89,122,135,225,180,90,107,0,0,0.750937190445
2015-04-04 15:00:00,21,3,0.75,270,360,270,135,0,360,314,0,20,328,346,0,42,225,0,0,0,15,89,210,225,306,180,90,107,0,0,0.762759591182
2015-04-18 20:30:00,21,3,0.6,360,450,360,135,0,360,314,0,20,332,436,0,132,315,0,0,0,15,111,296,315,374,270,90,197,0,0,0.731318183275
2015-04-26 19:00:00,21,6,1.0,450,540,450,135,0,450,339,0,20,398,522,0,197,405,0,0,0,15,111,386,405,398,360,90,201,0,0,0.742823513798
2015-05-02 16:00:00,21,9,1.28571428571,540,540,540,135,0,540,358,0,20,474,611,0,268,495,0,0,90,15,111,476,495,398,450,90,215,0,1,0.732486668732
2015-05-10 17:00:00,21,9,1.125,630,540,630,135,0,630,358,0,20,532,701,0,338,585,0,0,180,15,112,566,585,430,539,90,235,0,1,0.732658875908
2015-05-16 19:30:00,21,10,1.11111111111,651,540,720,135,0,720,365,0,20,532,791,0,344,675,0,0,270,15,181,656,675,513,629,90,319,0,1,0.724212047321
2015-05-23 17:00:00,21,13,1.3,651,540,810,135,0,810,410,0,20,532,881,0,370,682,0,0,360,15,245,746,765,596,719,90,364,0,91,0.708712513432
2015-05-30 17:00:00,21,16,1.45454545455,651,540,900,135,6,900,476,0,20,532,971,0,394,688,0,0,450,15,329,836,855,680,809,90,364,0,181,0.70125780933
2015-06-06 19:00:00,21,19,1.58333333333,659,540,900,135,23,990,549,0,20,532,1061,0,439,688,0,0,540,15,411,926,945,770,899,90,409,0,271,0.691623876217
2015-06-20 19:00:00,21,19,1.46153846154,691,540,990,135,23,1080,549,0,20,539,1151,0,452,688,0,0,630,15,469,1009,1035,860,989,90,486,0,361,0.693180556536
2015-06-24 20:00:00,21,22,1.57142857143,757,540,1080,135,35,1080,639,78,20,563,1239,0,454,688,0,0,720,15,469,1009,1125,950,1079,90,576,0,451,0.682113899883
2015-06-27 17:00:00,21,23,1.53333333333,828,540,1170,135,47,1080,639,160,20,582,1329,0,462,688,0,0,810,15,469,1099,1215,1028,1169,90,666,0,541,0.67895532055
2015-07-04 22:30:00,21,23,1.4375,828,540,1170,135,117,1170,709,250,20,668,1419,0,482,688,4,0,900,35,469,1099,1305,1028,1259,90,756,0,631,0.665052712863
2015-07-12 15:00:00,21,24,1.41176470588,828,540,1170,135,117,1260,716,340,20,758,1509,0,565,778,4,0,990,125,469,1099,1395,1028,1335,90,846,0,645,0.654554407209
2015-07-18 16:00:00,21,27,1.5,913,630,1170,135,122,1350,716,430,20,758,1599,0,588,778,4,0,990,127,469,1189,1485,1116,1425,90,913,0,735,0.653732438427
2015-07-25 19:30:00,21,28,1.47368421053,1003,720,1170,135,123,1432,716,519,20,759,1688,0,678,778,4,0,990,217,469,1189,1575,1124,1515,90,1003,0,825,0.646508928859
2015-08-01 19:30:00,21,28,1.4,1042,810,1170,135,168,1508,730,609,20,849,1733,0,768,778,4,90,990,217,469,1189,1665,1214,1584,90,1003,0,846,0.636373404106
2015-08-05 20:00:00,21,31,1.47619047619,1042,900,1170,135,186,1598,730,699,20,921,1823,0,858,778,4,180,990,220,469,1189,1755,1304,1666,90,1090,0,854,0.632832868748
2015-08-08 16:00:00,21,31,1.40909090909,1132,990,1260,135,186,1598,730,789,20,921,1913,0,948,778,4,270,990,241,469,1258,1776,1373,1666,90,1180,0,944,0.62463092706
2015-08-15 19:00:00,21,31,1.34782608696,1222,1080,1350,135,186,1669,730,879,20,921,2003,19,948,787,4,360,990,260,469,1329,1857,1373,1666,90,1270,90,944,0.617421066733
2015-08-22 16:00:00,21,34,1.41666666667,1240,1080,1440,135,186,1759,730,969,20,933,2081,19,993,787,4,450,1080,305,469,1329,1947,1445,1666,90,1360,180,944,0.61184984677
2015-08-29 16:00:00,21,37,1.48,1297,1080,1530,135,186,1792,730,1059,20,972,2132,19,993,787,4,540,1170,350,469,1374,2037,1535,1666,90,1450,270,944,0.606509649723
2015-09-05 22:00:00,21,37,1.42307692308,1297,1080,1620,135,202,1792,730,1149,20,1062,2132,93,993,787,13,540,1260,350,559,1464,2037,1625,1666,171,1450,360,1034,0.590486129622
2015-09-13 17:00:00,21,37,1.37037037037,1387,1080,1710,135,202,1792,730,1239,20,1152,2222,106,993,787,13,630,1350,350,559,1464,2127,1715,1743,171,1450,450,1034,0.589321666929
2015-09-16 19:30:00,21,37,1.32142857143,1470,1080,1800,135,202,1882,730,1329,20,1152,2312,113,993,787,13,720,1440,350,575,1464,2217,1789,1755,171,1528,540,1034,0.590092957465
