Date,MatchType,Points,PPG,Fernando Aristeguieta,Eric Ayuk Mbu,Tranquillo Barnetta,Andre Blake,Brian Carroll,Conor Casey,Warren Creavalle,Maurice Edu, Fabinho, Fred,Raymon Gaddis,Antoine Hoppenot,Michael Lahoud,Sebastien Le Toux,Raymond Lee,Cristian Maidana,Richie Marquez,Rais Mbolhi,John McCarthy,Jimmy McLaughlin,Vincent Nogueira,Zach Pfeffer,CJ Sapong,Brian Sylvestre,Steven Vitoria,Andrew Wenger,Ethan White,Sheanon Williams,HHI
2015-03-07 16:00:00,21,1,1.0,90,0,0,0,0,5,0,90,0,0,90,0,0,85,0,45,0,90,0,0,85,5,45,0,90,90,90,90,0.935465768799
2015-03-14 21:30:00,21,2,1.0,177,0,0,0,0,8,0,180,0,0,180,0,11,175,0,124,0,180,0,0,175,16,45,0,180,169,180,180,0.935415263749
2015-03-21 16:00:00,21,2,0.666666666667,267,16,0,0,0,8,0,270,68,0,270,0,20,265,0,124,0,270,0,0,265,58,45,0,270,243,261,202,0.898520323764
2015-03-29 17:00:00,21,2,0.5,357,23,0,0,0,8,0,360,158,5,360,4,110,355,0,124,0,360,0,0,332,58,45,0,360,329,344,202,0.876288016621
2015-04-05 19:00:00,21,2,0.4,447,95,0,0,90,8,0,450,236,5,450,4,200,445,12,124,0,450,0,0,332,58,63,0,450,419,344,202,0.824782706539
2015-04-11 16:00:00,21,5,0.833333333333,447,167,0,0,90,26,0,540,236,5,540,4,290,511,12,130,0,450,90,0,422,142,87,0,540,509,344,292,0.767801101534
2015-04-16 19:00:00,21,6,0.857142857143,505,225,0,0,90,26,0,630,236,5,630,4,380,601,12,162,0,450,180,0,485,169,119,0,630,599,344,382,0.753830837965
2015-04-19 17:00:00,21,6,0.75,595,225,0,0,117,38,0,720,236,5,720,4,470,691,12,225,0,450,270,0,485,247,182,0,720,626,344,472,0.734273031851
2015-04-25 19:30:00,21,6,0.666666666667,595,270,0,0,178,67,0,810,326,5,810,4,560,752,12,315,0,450,360,0,485,247,272,0,810,671,373,472,0.707489801108
2015-05-02 16:00:00,21,6,0.6,685,360,0,0,178,91,0,900,326,5,900,4,565,788,12,405,85,450,450,0,485,337,272,0,810,725,463,538,0.681330898281
2015-05-09 19:00:00,21,6,0.545454545455,747,450,0,0,178,105,0,990,326,5,990,4,565,816,12,495,163,450,450,0,513,427,272,90,810,787,539,628,0.66052218394
2015-05-17 19:00:00,21,9,0.75,747,453,0,0,268,195,0,1080,358,5,1048,4,565,906,12,585,163,450,450,0,600,446,272,180,810,858,629,718,0.643531792052
2015-05-24 17:00:00,21,12,0.923076923077,747,454,0,0,358,249,0,1080,448,5,1048,4,565,995,12,675,253,450,450,0,690,462,308,270,810,932,719,808,0.618826660737
2015-05-30 19:00:00,21,12,0.857142857143,819,455,0,0,448,249,0,1170,538,5,1048,4,565,1084,12,765,343,450,450,0,780,471,326,360,810,1013,719,898,0.612200550728
2015-06-03 19:00:00,21,15,1.0,856,467,0,0,538,249,0,1260,628,5,1048,4,565,1174,12,855,433,450,450,0,859,482,379,450,810,1091,719,988,0.607920278109
2015-06-06 19:00:00,21,15,0.9375,856,475,0,0,627,249,0,1350,718,5,1048,4,565,1264,12,937,523,450,450,1,949,503,469,540,810,1160,719,1078,0.605226011248
2015-06-20 22:30:00,21,15,0.882352941176,856,475,0,0,699,249,0,1440,742,29,1138,4,565,1264,12,1027,613,450,450,1,1015,593,559,630,810,1226,737,1168,0.601268126106
2015-06-24 19:00:00,21,18,1.0,856,504,0,0,789,249,0,1530,832,41,1139,4,565,1264,12,1105,703,450,450,1,1105,682,649,720,810,1287,737,1258,0.597726051003
2015-06-27 19:00:00,21,19,1.0,856,581,0,0,861,249,0,1620,922,59,1229,4,565,1264,12,1186,793,450,450,1,1195,739,739,810,810,1320,737,1267,0.594666311432
2015-07-11 19:00:00,21,22,1.1,856,581,0,0,951,249,0,1710,1012,60,1319,4,565,1349,12,1275,883,450,450,1,1285,750,829,900,810,1399,737,1272,0.599301487153
2015-07-18 16:00:00,21,22,1.04761904762,856,633,0,0,1041,268,0,1710,1102,60,1409,4,565,1439,12,1336,954,450,450,1,1375,779,919,990,810,1437,827,1272,0.596960691208
2015-07-26 17:00:00,21,22,1.0,866,713,0,0,1131,268,0,1800,1192,83,1499,4,565,1529,12,1416,954,450,450,1,1385,846,1009,1080,810,1437,917,1272,0.596280849726
2015-08-01 19:00:00,21,22,0.95652173913,892,777,26,0,1221,276,0,1890,1282,83,1589,4,565,1619,12,1506,954,450,540,1,1385,910,1099,1080,810,1437,999,1272,0.594228812309
2015-08-08 19:30:00,21,23,0.958333333333,903,807,86,0,1311,276,11,1890,1372,83,1679,4,644,1698,12,1596,1044,450,630,1,1385,910,1189,1080,900,1437,999,1272,0.587119368296
2015-08-16 19:00:00,21,24,0.96,976,897,146,0,1401,276,71,1890,1462,83,1769,4,674,1715,12,1686,1134,450,720,1,1385,910,1219,1080,990,1437,999,1272,0.578398848924
2015-08-22 20:00:00,21,27,1.03846153846,976,912,221,90,1491,276,71,1890,1552,83,1859,4,740,1805,12,1776,1224,450,720,1,1409,910,1309,1080,1080,1437,999,1272,0.573663441151
2015-08-29 19:00:00,21,27,1.0,993,937,286,180,1581,276,71,1890,1625,83,1949,4,740,1878,12,1865,1314,450,720,1,1499,910,1399,1080,1170,1454,999,1272,0.571642797034
2015-09-05 22:30:00,21,30,1.07142857143,993,1026,376,180,1581,295,72,1890,1715,83,2039,4,830,1949,12,1865,1404,450,810,1,1588,910,1489,1080,1260,1455,999,1272,0.56680847045
2015-09-12 19:00:00,21,30,1.03448275862,1003,1085,466,180,1640,326,72,1890,1795,83,2129,4,861,2039,12,1865,1494,450,900,1,1678,910,1579,1080,1350,1455,999,1272,0.56475694077
2015-09-20 19:00:00,21,33,1.1,1003,1085,556,180,1640,340,72,1980,1885,83,2219,4,951,2129,12,1941,1584,450,990,1,1768,910,1669,1080,1350,1455,999,1272,0.565881763811
2015-09-26 19:30:00,21,34,1.09677419355,1093,1175,556,270,1730,340,162,1980,1930,83,2219,4,996,2174,12,1986,1584,450,990,1,1780,988,1669,1080,1440,1545,1089,1272,0.556716566151
2015-10-03 17:00:00,21,34,1.0625,1183,1240,585,360,1820,340,162,1980,1930,83,2309,4,1053,2199,12,2076,1674,450,990,1,1813,988,1730,1080,1530,1635,1089,1272,0.554811050721
2015-10-18 15:00:00,21,34,1.0303030303,1228,1253,675,450,1820,340,162,1980,2020,83,2309,4,1143,2289,12,2121,1764,450,990,1,1903,988,1807,1080,1575,1725,1134,1272,0.551986727578
2015-10-25 17:00:00,21,37,1.08823529412,1251,1320,765,540,1820,340,166,1980,2106,83,2399,4,1233,2379,12,2121,1854,450,990,1,1993,988,1897,1080,1575,1725,1224,1272,0.550012073724
