Date,MatchType,Points,PPG,Corey Ashe,Eric Avila,Luke Boden,Servando Carrasco,Darwin Cerén,Aurelien Collin,Conor Donovan,Josh Ford,Tally Hall,Harrison Heath,Cristian Higuita,Sebastian Hines, Kaka,Cyle Larin,David Mateos,Kevin Molino,Danny Mwanga,Lewis Neal,Amobi Okugo,Martin Paterson,Rafael Ramos,Tommy Redding,Pedro Ribeiro,Donovan Ricketts,Carlos Rivas,Bryan Róchez,Brek Shea,Sean St Ledger,Tyler Turner,Adrian Winter,HHI
2015-03-08 17:00:00,21,1,1.0,0,0,0,0,0,83,0,0,0,0,90,90,90,0,0,90,0,80,90,0,90,0,0,90,89,10,90,1,0,0,0.980266773191
2015-03-13 19:00:00,21,4,2.0,0,8,0,0,90,83,0,0,0,0,90,180,172,0,0,180,0,170,180,0,180,0,36,180,143,10,180,91,0,0,0.865149616118
2015-03-21 19:30:00,21,4,1.33333333333,0,98,0,0,180,173,0,0,0,0,90,270,262,19,0,270,0,170,270,0,270,0,107,270,143,10,270,91,0,0,0.821447076663
2015-03-28 16:00:00,21,5,1.25,0,188,90,0,180,263,0,0,0,0,90,360,352,19,0,270,66,170,360,0,270,0,197,360,143,34,270,181,90,0,0.717608410332
2015-04-03 19:00:00,21,5,1.0,0,259,90,0,270,353,0,0,0,0,90,450,442,87,0,360,66,170,450,0,359,0,219,450,162,35,360,181,90,0,0.73331880668
2015-04-12 17:00:00,21,8,1.33333333333,0,279,90,0,360,443,0,0,0,0,160,540,532,169,0,450,66,170,540,0,449,0,219,540,170,35,450,181,90,0,0.744545594239
2015-04-18 19:30:00,21,8,1.14285714286,0,308,90,0,450,533,0,0,0,0,250,601,622,205,0,529,66,170,630,0,483,0,219,630,181,35,540,181,144,0,0.748654589693
2015-04-26 19:00:00,21,8,1.0,0,398,90,0,540,623,0,0,0,0,250,691,712,272,0,605,80,170,695,0,483,0,219,720,206,58,630,181,234,0,0.745069242272
2015-05-08 20:00:00,21,9,1.0,0,470,180,0,630,713,0,0,0,0,295,781,802,353,0,605,80,170,740,0,573,0,219,810,224,67,720,181,234,0,0.73998150414
2015-05-13 20:00:00,21,9,0.9,0,551,270,0,720,780,0,0,0,90,295,781,892,430,0,605,80,170,740,0,663,0,219,900,233,80,810,271,257,0,0.715211211012
2015-05-17 17:00:00,21,12,1.09090909091,0,641,360,0,810,780,0,0,90,90,370,871,982,508,0,605,80,170,755,7,753,0,219,900,245,80,893,361,257,0,0.693996129408
2015-05-24 19:00:00,21,13,1.08333333333,0,728,450,0,900,780,0,0,180,90,460,961,1072,592,0,605,80,170,758,13,843,0,219,900,245,80,944,451,257,0,0.68177102513
2015-05-30 19:30:00,21,14,1.07692307692,0,801,540,0,990,780,0,0,270,90,550,1051,1162,664,0,605,80,187,758,37,933,0,237,900,311,80,944,541,257,0,0.666248550869
2015-06-06 20:30:00,21,17,1.21428571429,0,891,630,0,1080,870,0,0,360,90,640,1051,1251,688,0,605,80,263,759,37,1023,0,303,900,325,80,944,631,257,0,0.653149859065
2015-06-14 19:00:00,21,20,1.33333333333,0,981,720,0,1080,960,0,0,450,91,730,1051,1340,688,0,605,80,346,766,37,1113,0,386,900,332,80,1034,721,257,0,0.644093384353
2015-06-20 20:00:00,21,20,1.25,0,981,810,0,1170,1009,0,0,540,91,807,1092,1430,778,0,605,80,407,766,37,1203,0,399,900,361,80,1124,811,257,0,0.642440538219
2015-06-24 19:30:00,21,23,1.35294117647,0,982,900,0,1260,1009,0,0,630,91,897,1182,1520,847,0,605,80,497,766,37,1293,0,420,900,411,80,1163,901,257,0,0.640215870732
2015-07-04 22:00:00,21,24,1.33333333333,0,1072,990,0,1260,1009,0,0,720,91,987,1272,1565,847,0,605,80,587,767,37,1383,0,509,900,501,80,1163,991,257,0,0.632771062887
2015-07-11 19:30:00,21,24,1.26315789474,0,1143,1079,0,1260,1057,0,0,810,136,1077,1362,1565,847,0,605,99,677,812,37,1473,0,599,900,591,80,1163,1033,257,0,0.622424142558
2015-07-18 19:30:00,21,24,1.2,88,1143,1079,0,1350,1147,0,0,900,136,1167,1362,1655,879,0,605,99,754,812,37,1563,0,601,900,681,93,1163,1123,257,0,0.617295881322
2015-07-26 14:30:00,21,24,1.14285714286,178,1217,1079,90,1440,1237,0,0,990,136,1167,1452,1745,969,0,605,99,754,812,53,1563,0,608,900,764,93,1163,1213,257,0,0.608882829879
2015-08-01 19:30:00,21,27,1.22727272727,268,1217,1169,180,1530,1327,0,0,1080,136,1257,1542,1835,1047,0,605,99,754,812,53,1563,0,608,900,764,105,1163,1213,347,0,0.600958187561
2015-08-05 20:00:00,21,27,1.17391304348,330,1279,1259,270,1620,1417,0,0,1170,136,1347,1632,1835,1137,0,605,99,782,812,53,1563,0,636,900,764,105,1163,1213,437,0,0.593645431281
2015-08-08 19:30:00,21,28,1.16666666667,420,1279,1349,342,1710,1507,14,0,1260,136,1437,1632,1925,1227,0,605,99,847,812,53,1563,76,636,900,789,105,1163,1213,437,18,0.586043121153
2015-08-16 17:00:00,21,28,1.12,420,1279,1439,432,1795,1597,14,0,1350,136,1527,1632,1995,1294,90,605,99,867,812,53,1563,76,641,900,789,128,1163,1213,477,108,0.577583681482
2015-08-22 16:00:00,21,28,1.07692307692,425,1279,1529,522,1795,1687,14,0,1440,136,1617,1632,2080,1359,180,605,99,939,812,53,1599,76,641,900,814,146,1163,1213,477,190,0.570962557969
2015-08-29 19:30:00,21,29,1.07407407407,515,1279,1619,526,1885,1777,14,0,1530,136,1703,1632,2170,1441,270,605,99,1029,812,53,1599,76,649,900,904,146,1163,1213,477,190,0.569369584255
2015-09-05 19:30:00,21,29,1.03571428571,575,1309,1709,616,1885,1867,14,0,1620,136,1782,1632,2170,1441,360,605,110,1119,812,53,1689,76,717,900,904,168,1163,1213,477,280,0.560064767251
2015-09-13 19:00:00,21,32,1.10344827586,575,1326,1799,706,1885,1957,14,0,1710,136,1872,1632,2170,1498,450,605,110,1209,812,53,1779,76,717,900,965,201,1192,1213,477,353,0.555188082638
2015-09-19 20:30:00,21,35,1.16666666667,575,1326,1889,796,1894,2047,14,0,1800,136,1962,1632,2170,1569,540,605,110,1299,812,53,1869,76,717,900,1046,220,1211,1213,477,424,0.552235210818
2015-09-25 19:00:00,21,38,1.22580645161,575,1326,1979,796,1984,2137,14,0,1890,136,2052,1666,2260,1645,540,605,110,1364,812,53,1959,76,717,900,1102,234,1301,1213,477,449,0.55753543891
2015-10-03 19:30:00,21,41,1.28125,575,1326,2058,886,2074,2227,14,0,1980,136,2052,1745,2350,1735,540,605,110,1433,812,53,1970,87,717,900,1192,255,1391,1213,477,449,0.559374772018
2015-10-16 19:00:00,21,44,1.33333333333,665,1326,2148,900,2164,2317,14,6,2064,136,2142,1835,2350,1816,540,605,110,1509,812,53,1970,87,717,900,1282,264,1391,1213,477,539,0.559004721402
2015-10-25 17:00:00,21,44,1.29411764706,665,1326,2238,900,2254,2407,14,96,2064,136,2228,1925,2440,1906,540,605,110,1509,812,53,1998,87,732,900,1372,264,1466,1213,477,601,0.55971846286
