Date,MatchType,Points,PPG,RJ Allen,Pablo Alvarez,Mehdi Ballouchy,Connor Brandt,Jeb Brovsky,Javier Calle,Mix Diskerud,Matthew Dunn,Shay Facey,Ned Grabavoy,Jason Hernandez,Andoni Iraola,Andrew Jacobson,Frank Lampard,Thomas McNamara,Ryan Meara,Jefferson Mena,Patrick Mullins,Adam Nemec,Andrea Pirlo,Kwadwo Poku,Josh Saunders,Khiry Shelton,Jose Angel Tasende,Tony Taylor,Sebastian Velasquez,David Villa,Kwame Watson-Siriboe,Josh Williams,Chris Wingert,HHI
2015-03-08 17:00:00,21,1,1.0,0,0,62,0,90,1,88,0,0,90,90,0,90,0,0,0,0,0,89,0,0,90,28,0,0,2,90,0,90,90,0.955084175084
2015-03-15 17:00:00,21,4,2.0,0,0,62,0,180,1,178,0,11,180,180,0,180,0,0,0,0,6,173,0,0,180,52,0,0,68,180,0,169,180,0.921167227834
2015-03-21 16:00:00,21,5,1.66666666667,0,0,62,0,270,20,263,0,93,270,270,0,270,0,0,0,0,6,234,0,0,270,81,0,0,139,270,5,169,270,0.879682140788
2015-03-28 19:00:00,21,5,1.25,0,0,137,0,360,79,353,0,93,360,360,0,354,0,6,0,0,96,234,0,15,360,81,0,31,139,270,95,169,360,0.798076795022
2015-04-11 16:00:00,21,5,1.0,0,0,137,0,450,97,443,0,93,450,450,0,444,0,6,0,0,96,306,0,15,450,126,0,31,184,360,104,250,450,0.810444212353
2015-04-16 19:00:00,21,6,1.0,0,0,227,0,462,175,443,0,93,540,495,0,534,0,6,0,0,96,396,0,60,540,216,0,31,184,405,149,340,540,0.768512119144
2015-04-19 19:00:00,21,6,0.857142857143,0,7,301,0,545,265,443,0,93,630,495,0,624,0,6,0,0,186,396,0,76,630,306,0,66,239,405,239,340,630,0.729363875557
2015-04-24 20:00:00,21,6,0.75,0,7,373,0,635,303,533,52,93,720,495,0,648,0,6,90,0,242,430,0,76,630,396,0,66,257,405,329,340,720,0.697017608073
2015-05-03 19:00:00,21,6,0.666666666667,20,97,427,0,725,303,623,52,163,810,495,0,648,0,6,90,0,311,430,0,97,720,486,0,66,257,441,417,340,810,0.678305243049
2015-05-10 19:00:00,21,6,0.6,110,167,447,0,725,303,687,52,163,900,585,0,738,0,6,90,0,333,430,0,123,810,576,0,66,257,509,417,430,900,0.667965765883
2015-05-15 19:00:00,21,7,0.636363636364,136,197,537,0,804,303,777,52,223,900,675,0,828,0,17,90,0,393,430,0,123,900,606,0,66,257,599,417,430,990,0.666255472147
2015-05-23 22:00:00,21,7,0.583333333333,136,197,627,9,894,303,867,52,313,900,765,0,918,0,41,90,0,459,430,0,123,990,672,0,66,281,689,417,430,1071,0.666245759195
2015-05-30 19:00:00,21,8,0.615384615385,136,197,695,9,984,303,957,52,403,900,855,0,1008,0,41,90,0,470,509,0,145,1080,704,0,66,339,779,417,430,1161,0.668212281298
